,winery,cities
0,Firestone,
1,Concannon,
2,Nottingham Cellars,
3,Rodney Strong,
4,Husch,
5,CaptÃ»re,
6,Albertina,
7,iNapa Wine,
8,Silverado,
9,Happy Camper,
10,Kenefick Ranch,
11,Kale,
12,Talisman,
13,Trinchero,
14,Beaver Creek,
15,Stephen Vincent,
16,Clos Pegase,
17,Intelligent Design,
18,Janzen,
19,Black Kite,
20,Rock Wall,
21,Peterson,
22,Sebastiani,
23,Di Arie,
24,Stag's Leap Wine Cellars,
25,Francis Coppola,
26,Kenwood,
27,Stemmler,
28,Cable Car,
29,David Arthur,
30,Ridge,
31,Justin,
32,Rockroom Winemaking Cooperative,
33,Barlow,
34,Koehler,
35,De Loach,
36,Bishop's Peak,
37,V. Sattui,
38,Sierra Starr,
39,Prime,
40,Stomping Girl,
41,Blair Fox,
42,Opaque,
43,Renaudin,
44,Plungerhead,
45,Cedar Mountain,
46,Lincourt,
47,Merryvale,
48,Bonterra,
49,John Anthony,
50,Roche,
51,Morgan,
52,Stolpman,
53,Muscardini,
54,Titus,
55,Bruliam,
56,Gnarly Head,
57,Ballentine,
58,Cuda Ridge Wines,
59,Lost Angel,
60,Suncé Vineyard & Winery,
61,Williams Selyem,
62,Newton,
63,Jason-Stephens,
64,Pine Ridge,
65,Bell,
66,Six Sigma Ranch,
67,Indulge,
68,Flying Horse,
69,Joseph Jewell,
70,Hovey,
71,Coquerel Family Wine Estates,
72,Au Sommet,
73,Elyse,
74,St. Supéry,
75,Calicaro,
76,Alpha Omega,
77,Boëté,
78,J. Davies,
79,St. Francis,
80,Jaxon Keys,
81,One Hope,
82,Lake Sonoma,
83,Mercy,
84,Donelan,
85,La Storia by Trentadue,
86,Wine Spots,
87,Frenchie Winery,
88,Buena Vista,
89,Bota Box,
90,Kutch,
91,Happy Canyon Vineyard,
92,Byron,
93,Riverbench,
94,Newsome-Harlow,
95,Balletto,
96,Sterling,
97,Bjorn,
98,Schramsberg,
99,Wattle Creek,
100,Korbel,
101,Chatom Vineyards,
102,Murphy-Goode,
103,Arista,
104,World's End,
105,Cline,
106,Miro,
107,Michael David,
108,Morse,
109,Midsummer Cellars,
110,Jean Edwards,
111,Au Bon Climat,
112,Krupp Brothers,
113,Fenestra,
114,J. Lohr,
115,Chase,
116,Fontanella,
117,LaZarre,
118,Patz & Hall,
119,Collier Falls,
120,Larry Hyde and Sons,
121,Presqu'ile,
122,Arrowood,
123,Orentano,
124,Castello di Amorosa,
125,Longoria,
126,Merus,
127,Bailiwick,
128,Terlato,
129,Verde Sole,
130,Girasole,
131,Viader,
132,Coghlan,
133,Toccata,
134,Lyeth,
135,Lost Canyon,
136,Gandona,
137,Cosentino,
138,Ancient Peaks,
139,Sheldon,
140,Croad,
141,San Simeon,
142,Courtney Benham,
143,Sensorium,
144,Fidelity,
145,Mutt Lynch,
146,Gary Farrell,
147,B&E;,
148,La FenÃªtre,
149,Fritz,
150,Easton,
151,Maldonado,
152,Schweiger,
153,Storm,
154,Renteria,
155,Krutz,
156,Conway,
157,Fontes & Phillips,
158,Lorenzi Estate,
159,Dashe Cellars,
160,MICA Cellars,
161,Putah Creek,
162,Jorian Hill,
163,Wellington,
164,Alysian,
165,Testarossa,
166,Three Saints,
167,Magness,
168,The Farm Winery,
169,Benessere,
170,Piña,
171,Montagna,
172,Joseph Cellars,
173,McManis,
174,Carte Blanche,
175,Rutherford Hill,
176,MacPhail,
177,Little Stone Vineyard,
178,Gracianna,
179,Ugly Duckling,
180,San Antonio,
181,Calera,
182,Chalk Hill,
183,Manifesto!,
184,Hook & Ladder,
185,Buehler,
186,Peju,
187,Hensteeth,
188,Adelaida,
189,Signaterra,
190,Baxter,
191,Clos de la Tech,
192,Merry Edwards,
193,Sonoma Hills,
194,Mauritson,
195,Maggy Hawk,
196,Longboard,
197,Banknote,
198,Oakville Ranch,
199,Aiken,
200,Trentadue,
201,Curtis,
202,Pali,
203,Tetra,
204,Decoy,
205,Aril,
206,Aje,
207,Frazier,
208,Millésimé,
209,On Point,
210,Peirano,
211,Proverbial,
212,Zaca Mesa,
213,Gravity Hills,
214,Stephen Ross,
215,Simi,
216,Work,
217,Center of Effort,
218,Y Rousseau,
219,Saxon Brown,
220,Fetzer,
221,Santa Barbara Winery,
222,Handley,
223,Crossbarn by Paul Hobbs,
224,Gloria Ferrer,
225,Fazeli Cellars,
226,Bonny Doon,
227,Clayhouse,
228,White Oak,
229,Tangent,
230,The Vineyard House,
231,B Side,
232,Robert Craig,
233,Von Strasser,
234,Ferrari-Carano,
235,Meyer Family Cellars,
236,Whitehall Lane,
237,Carmel Hills Winery,
238,Pedroncelli,
239,Gundlach Bundschu,
240,Samsara,
241,Martin Ranch,
242,Paraiso Vineyards,
243,Inception,
244,Martin Ray,
245,Thomas Fogarty,
246,Cameron Hughes,
247,Foxen,
248,Whitcraft,
249,Tobacco Road,
250,Cedarville Vineyard,
251,Geyser Peak,
252,Arcadian,
253,Healdsburg Ranches,
254,Lawer,
255,B.R. Cohn,
256,Robert Young,
257,Barrel Ranch,
258,Dane Cellars,
259,Flying Goat Cellars,
260,Valley Legend,
261,Hendry,
262,Armida,
263,Siduri,
264,Oak Grove,
265,Voss,
266,MacMurray Ranch,
267,Matanzas Creek,
268,HandCraft,
269,Eberle,
270,Malibu Rocky Oaks,
271,Francis Ford Coppola,
272,Hawkstone,
273,Carol Shelton,
274,Hensley,
275,Freeman,
276,Hawk and Horse Vineyards,
277,Terra Valentine,
278,Clos La Chance,
279,Monticello Vineyards,
280,Laurier,
281,The Crusher,
282,Ancient Oak Cellars,
283,Entropy Cellars,
284,Bella Victorian,
285,Babcock,
286,Parducci,
287,Laetitia,
288,Sanford,
289,Folkway,
290,Acorn,
291,Kunde,
292,Hidden Ridge,
293,Somerston,
294,Hobo,
295,Sobon Estate,
296,Mark West,
297,Rusack,
298,Sequoia Grove,
299,Cedar Creek,
300,Faust,
301,Flocchini,
302,Bianchi,
303,Gustafson Family,
304,Ehret,
305,Sera Fina,
306,Domaine Chandon,
307,Silver,
308,Reverie,
309,Ojai,
310,Ramsay,
311,Midnight,
312,Star Angel by Montes,
313,Blessing,
314,Jaffurs,
315,Dawn's Dream,
316,Jim Ball,
317,Pomar Junction,
318,Starmont,
319,Daviana,
320,Diamond Creek,
321,Talley,
322,Stonestreet,
323,Mario Bazán,
324,Hannah Nicole Vineyards,
325,Waterstone,
326,Clos du Val,
327,Chateau St. Jean,
328,Kendall-Jackson,
329,Cupcake,
330,Oakville East,
331,Demetria,
332,Valley of the Moon,
333,Bink,
334,Trenza,
335,Tanner DaFoe,
336,Roessler,
337,Ovid,
338,Frank Family,
339,Lucky Star,
340,Falcone,
341,Weinstock Cellars,
342,Seghesio,
343,Cenay,
344,Hewitt,
345,Sodaro,
346,Shannon Ridge,
347,Estancia,
348,Joseph Swan Vineyards,
349,Wild Hog,
350,Chateau Margene,
351,Tuck Beckstoffer,
352,Larner,
353,Pride Mountain,
354,Markham,
355,Twisted Oak,
356,Trione,
357,CULT,
358,Dunning Vineyards,
359,J Ludlow,
360,Tyler,
361,Bjornstad,
362,Yorkville Cellars,
363,Freemark Abbey,
364,Coup de Foudre,
365,La Crema,
366,Pfendler,
367,Jekel,
368,Mt. Konocti Winery,
369,J Vineyards & Winery,
370,Stickybeak,
371,Amador Foothill Winery,
372,Mayacamas,
373,Pezzi King,
374,Dutton Estate,
375,Worthy,
376,Keller,
377,TR Elliott,
378,La Rochelle,
379,Due Cani,
380,Davis Family,
381,Carmel Road,
382,a-non-ah-mus,
383,Terra Bella,
384,Pont de Chevalier,
385,Kynsi,
386,Ledson,
387,Andretti,
388,Wrath,
389,Claiborne & Churchill,
390,Lava Cap,
391,Château Potelle,
392,Lynmar,
393,Chimney Rock,
394,Saint Gregory,
395,Wilson,
396,En Garde,
397,Novy,
398,Foyt Family,
399,J. Rickards,
400,Navarro,
401,David Family,
402,Greenwood Ridge,
403,Pessagno,
404,Coquelicot,
405,Picket Fence,
406,Brander,
407,Butterfield Station,
408,Joullian,
409,Cuvaison,
410,Tyler Florence,
411,Dutton-Goldfield,
412,Townley,
413,Robert Mondavi,
414,Rock Hollow,
415,Castoro Cellars,
416,Azur,
417,Boekenoogen,
418,Yao Ming,
419,Kokomo,
420,Roth,
421,Duckhorn,
422,Horse & Plow,
423,Summers,
424,Villa San Juliette,
425,Soulmate,
426,Tercero,
427,Swanson,
428,Juslyn Vineyards,
429,Darcie Kent Vineyards,
430,Villa del Monte,
431,Fog Crest,
432,Beaulieu Vineyard,
433,Little Black Dress,
434,Hahn,
435,Pat Paulsen Vineyards,
436,Rancho Sisquoc,
437,James Family Cellars,
438,Schug,
439,Sharabella Wines,
440,Two Sisters,
441,Signorello,
442,Matchbook,
443,Hearst Ranch,
444,White Cottage Ranch,
445,Iron Horse,
446,TV Celadon,
447,Keller Estate,
448,Evolve,
449,Cielo,
450,Holman Ranch,
451,Keating,
452,Eleanor,
453,Ca' Momi,
454,Ruby Hill Winery,
455,Cinnabar,
456,Super Sonoman,
457,Tractor Shed Red,
458,Rutz,
459,Liberty School,
460,VC Cellars,
461,Beltane Ranch,
462,Grgich Hills,
463,Indigené,
464,Lafond,
465,Nickel & Nickel,
466,Drew,
467,Hey Mambo,
468,Cooper-Garrod,
469,Maddalena,
470,Alexander Valley Vineyards,
471,Girard,
472,Rochioli,
473,Uphill Vineyards,
474,HammerSky,
475,Phantom Rivers,
476,Grayson,
477,Maroon,
478,Sciandri Family,
479,Forchini,
480,Stags' Leap Winery,
481,Trinitas,
482,Charles Krug,
483,Turnbull,
484,Alta Colina,
485,Montoliva,
486,Black Stallion,
487,Harlow Ridge,
488,Round Hill,
489,Roar,
490,Four Vines,
491,Jenica Peak,
492,Barbieri,
493,Padis,
494,Jack Nicklaus Wines,
495,Kenneth Volk,
496,Leese-Fitch,
497,Rocca,
498,Alma Sol,
499,Sorelle Winery,
500,Black Box,
501,Sojourn,
502,Publix,
503,VinRoc,
504,Sanguis,
505,Blue Rock,
506,Occasio,
507,Jellybean Wines,
508,Insomnia,
509,Truchard,
510,Urban Legend,
511,VJB,
512,Wild Horse,
513,Terre Rouge,
514,Tiedemann,
515,Greystone,
