,winery,cities
722,Fields Family,Acampo
1566,Housley's Century Oak,Acampo
908,LangeTwins,Acampo
1318,Carica,Alameda
20,Rock Wall,Alameda
794,Howell Mountain Vineyards,Angwin
1497,Lamborn Family Vineyards,Angwin
217,Center of Effort,Arroyo Grande
289,Folkway,Arroyo Grande
385,Kynsi,Arroyo Grande
287,Laetitia,Arroyo Grande
1789,Croma Vera,Avila Beach
1355,Culton,Avila Beach
937,Covenant,Berkeley
1047,Donkey & Goat,Berkeley
615,Beauregard,Bonny Doon
1454,FEL,Boonville
1347,Foursight,Boonville
1535,Lichen Estate,Boonville
975,Fausta,Boyes Hot Springs
664,Ascension Cellars,Brea
324,Hannah Nicole Vineyards,Brentwood
1149,Alma Rosa,Buellton
1409,Chanin,Buellton
754,Ken Brown,Buellton
464,Lafond,Buellton
1481,Liquid Farm,Buellton
91,Happy Canyon Vineyard,Buelton
199,Aiken,Calistoga
1048,Amici,Calistoga
1750,Apsara,Calistoga
661,Armanino Family Cellars,Calistoga
1127,Atalon,Calistoga
1323,August Briggs,Calistoga
33,Barlow,Calistoga
1057,Bennett Lane,Calistoga
124,Castello di Amorosa,Calistoga
1361,Chateau Montelena,Calistoga
16,Clos Pegase,Calistoga
71,Coquerel Family Wine Estates,Calistoga
1065,Davis Estates,Calistoga
320,Diamond Creek,Calistoga
1370,Envy,Calistoga
338,Frank Family,Calistoga
527,Heibel Ranch,Calistoga
1558,Hindsight,Calistoga
1406,Jax,Calistoga
172,Joseph Cellars,Calistoga
1078,Kelly Fleming,Calistoga
10,Kenefick Ranch,Calistoga
631,Knights Bridge,Calistoga
284,Bella Victorian,Camarillo
1549,Cutruzzola,Cambria
77,Boete,Carmel
611,Galante,Carmel
51,Morgan,Carmel
663,Bernardus,Carmel Valley
417,Boekenoogen,Carmel Valley
1385,Chesebro,Carmel Valley
315,Dawn's Dream,Carmel Valley
450,Holman Ranch,Carmel Valley
463,Indigene,Carmel Valley
408,Joullian,Carmel Valley
1091,Joyce,Carmel Valley
1219,Albatross Ridge,Carmel-by-the-Sea
1583,Blair,Carmel-by-the-Sea
381,Carmel Road,Carmel-by-the-Sea
1822,Folktale,Carmel-by-the-Sea
589,Flowers,Cazadero
983,Hirsch,Cazadero
727,Bogle,Clarksburg
651,Clarksburg Wine Company,Clarksburg
1335,Heringer,Clarksburg
1260,Brassfield,Clearlake Oaks
1177,Dalliance,Clearlake Oaks
505,Blue Rock,Cloverdale
149,Fritz,Cloverdale
564,Icaria,Cloverdale
399,J. Rickards,Cloverdale
1175,Killian,Cloverdale
135,Lost Canyon,Cloverdale
437,James Family Cellars,Cotati
533,August Ridge,Creston
350,Chateau Margene,Creston
1833,Auburn,Danville
1139,AuburnJames,Danville
226,Bonny Doon,Davenport
101,Chatom Vineyards,Douglas Flat
1621,Drytown,Drytown
1354,Baiocchi Wines,Fair Play
1540,Cedarville,Fair Play
250,Cedarville Vineyard,Fair Play
1075,Charles B. Mitchell,Fair Play
764,Casa Tiene Vista,Fallbrook
809,Damas,Fiddletown
622,Fiddletown Cellars,Fiddletown
69,Joseph Jewell,Forestville
348,Joseph Swan Vineyards,Forestville
1032,Houdini,Fullerton
858,Fogline Vineyards,Fulton
328,Kendall-Jackson,Fulton
996,Draxton,Geyserville
830,Dreaming Tree,Geyserville
25,Francis Coppola,Geyserville
271,Francis Ford Coppola,Geyserville
730,Aver Family Vineyards,Gilroy
63,Jason-Stephens,Gilroy
857,Amapola Creek,Glen Ellen
122,Arrowood,Glen Ellen
255,B.R. Cohn,Glen Ellen
461,Beltane Ranch,Glen Ellen
744,Benziger,Glen Ellen
554,Imagery,Glen Ellen
1352,Kivelstadt Cellars,Glen Ellen
1083,Korbin Kameron,Glen Ellen
1709,Lasseter,Glen Ellen
696,Laurel Glen,Glen Ellen
12,Talisman,Glen Ellen
648,Kori,Gonzales
774,Lucia,Gonzales
38,Sierra Starr,Grass Valley
367,Jekel,Greenfield
100,Korbel,Guerneville
871,Harmony Cellars,Harmony
290,Acorn,Healdsburg
470,Alexander Valley Vineyards,Healdsburg
1702,Alma Fria,Healdsburg
164,Alysian,Healdsburg
1587,Aperture,Healdsburg
103,Arista,Healdsburg
262,Armida,Healdsburg
1196,Banshee Wines,Healdsburg
538,Blanchard Family,Healdsburg
693,Bluenose,Healdsburg
1644,Bodkin,Healdsburg
1244,Bucher,Healdsburg
1441,Cartlidge & Browne,Healdsburg
767,Cartograph,Healdsburg
182,Chalk Hill,Healdsburg
119,Collier Falls,Healdsburg
1023,Davis Bynum,Healdsburg
380,Davis Family,Healdsburg
1041,Del Carlo Winery,Healdsburg
1570,Devil Proof,Healdsburg
929,Dry Creek Vineyard,Healdsburg
234,Ferrari-Carano,Healdsburg
1690,Flanagan,Healdsburg
1126,Foppiano,Healdsburg
765,Frei Brothers,Healdsburg
146,Gary Farrell,Healdsburg
251,Geyser Peak,Healdsburg
178,Gracianna,Healdsburg
303,Gustafson Family,Healdsburg
1294,Hawley,Healdsburg
911,HKG,Healdsburg
294,Hobo,Healdsburg
1780,Holdredge,Healdsburg
369,J Vineyards & Winery,Healdsburg
1426,Jordan,Healdsburg
1285,Judge Palmer,Healdsburg
419,Kokomo,Healdsburg
365,La Crema,Healdsburg
784,La Follette,Healdsburg
1620,Lancaster,Healdsburg
196,Longboard,Healdsburg
21,Peterson,Healdsburg
30,Ridge,Healdsburg
3,Rodney Strong,Healdsburg
61,Williams Selyem,Healdsburg
181,Calera,Hollister
6,Albertina,Hopland
574,Brutocao,Hopland
1103,Campovida,Hopland
220,Fetzer,Hopland
522,Graziano,Hopland
597,Jeriko,Hopland
1017,Clos du Lac,Ione
924,Fort Ross,Jenner
1232,Boatique,Kelseyville
855,Chacewater,Kelseyville
327,Chateau St. Jean,Kenwood
396,En Garde,Kenwood
26,Kenwood,Kenwood
291,Kunde,Kenwood
90,Kutch,Kenwood
378,La Rochelle,Kenwood
1003,Landmark,Kenwood
386,Ledson,Kenwood
53,Muscardini,Kenwood
1334,Alder Springs,Laytonville
45,Cedar Mountain,Livermore
1,Concannon,Livermore
58,Cuda Ridge Wines,Livermore
1040,Dante Robere,Livermore
429,Darcie Kent Vineyards,Livermore
965,Eagle Ridge,Livermore
603,Enoteca Five,Livermore
283,Entropy Cellars,Livermore
113,Fenestra,Livermore
788,Glen Ellen,Livermore
1089,Las Positas,Livermore
931,Longevity,Livermore
2,Nottingham Cellars,Livermore
1274,Borra,Lodi
1331,Estate Crush,Lodi
1362,Klinker Brick,Lodi
44,Plungerhead,Lodi
259,Flying Goat Cellars,Lomoc
751,Ampelos,Lompoc
252,Arcadian,Lompoc
285,Babcock,Lompoc
1217,Brewer-Clifton,Lompoc
997,Cebada,Lompoc
1580,Conarium,Lompoc
883,Dolina,Lompoc
1271,Domaine de la Cote,Lompoc
642,Fiddlehead,Lompoc
786,Fiddlehead Cellars,Lompoc
1249,Foley,Lompoc
782,Kessler-Haak,Lompoc
1473,Kita,Lompoc
1088,Loring Wine Company,Lompoc
896,Lutum,Lompoc
1593,Casa Dumetz,Los Alamos
616,Black Ridge,Los Gatos
803,Burrell School Vineyards,Los Gatos
1496,Byington,Los Gatos
1337,Alta Maria,Los Olivos
775,Andrew Murray,Los Olivos
492,Barbieri,Los Olivos
947,Beckmen,Los Olivos
41,Blair Fox,Los Olivos
406,Brander,Los Olivos
92,Byron,Los Olivos
874,Cimarone,Los Olivos
1077,Consilience,Los Olivos
404,Coquelicot,Los Olivos
620,Daniel Gehrs,Los Olivos
331,Demetria,Los Olivos
566,Dragonette,Los Olivos
581,Epiphany,Los Olivos
837,Fess Parker,Los Olivos
0,Firestone,Los Olivos
34,Koehler,Los Olivos
125,Longoria,Los Olivos
52,Stolpman,Los Olivos
1651,Gregory Graham,Lower Lake
276,Hawk and Horse Vineyards,Lower Lake
66,Six Sigma Ranch,Lower Lake
1573,Cloak & Dagger,Malibu
1054,Dolin,Malibu
1683,Casto Oaks,Mariposa
19,Black Kite,Mendocino
14,Beaver Creek,Middletown
1324,Langtry,Middletown
1321,Cannonball,Monterey
545,Guglielmo,Morgan Hill
299,Cedar Creek,Mount Aukum
694,Black Sheep,Murphys
70,Hovey,Murphys
787,Ironstone,Murphys
1049,La Folia Winery,Murphys
1073,Acacia,Napa
987,Ackerman,Napa
1575,Acumen,Napa
387,Andretti,Napa
1517,Antica,Napa
595,Artesa,Napa
72,Au Sommet,Napa
416,Azur,Napa
197,Banknote,Napa
919,Beaucanon,Napa
1338,Billhook,Napa
486,Black Stallion,Napa
1096,Blackbird Vineyards,Napa
706,Blue Oak,Napa
623,Bouchaine,Napa
1200,Bougetz,Napa
1471,Bright Angel WInes,Napa
1345,Castrucci,Napa
393,Chimney Rock,Napa
326,Clos du Val,Napa
1307,Cobblestone,Napa
1797,Cobden Wini,Napa
364,Coup de Foudre,Napa
717,Crosby Roamann,Napa
409,Cuvaison,Napa
1393,Darioush,Napa
904,Darms Lane,Napa
319,Daviana,Napa
1002,Del Dotto,Napa
777,Domaine Carneros,Napa
379,Due Cani,Napa
1201,Eleven Eleven,Napa
1213,Elkhorn Peak,Napa
73,Elyse,Napa
982,Emblem,Napa
1277,Etude,Napa
558,Falcor,Napa
1058,Foley Johnson,Napa
1108,Folie a� Deux,Napa
116,Fontanella,Napa
207,Frazier,Napa
1085,Frisson Wines,Napa
1026,Fulcrum,Napa
1529,Garnet,Napa
1625,Garnet Vineyards,Napa
1022,Gauthier,Napa
56,Gnarly Head,Napa
476,Grayson,Napa
1552,Groth,Napa
605,Hagafen,Napa
1098,Hartwell,Napa
932,Haywood,Napa
261,Hendry,Napa
274,Hensley,Napa
1386,Herencia,Napa
1266,Heritance,Napa
1727,Hersly,Napa
1831,Hess,Napa
1162,Hess Collection,Napa
548,Hess Select,Napa
292,Hidden Ridge,Napa
1692,Hudson Vineyards,Napa
1747,Ideology,Napa
662,Ideology Cellars,Napa
1475,Ilaria,Napa
1591,Irwin Family Vineyards,Napa
1197,Jack,Napa
913,Jamieson Ranch,Napa
18,Janzen,Napa
539,Jarvis,Napa
49,John Anthony,Napa
1506,Judd's Hill,Napa
11,Kale,Napa
112,Krupp Brothers,Napa
1579,Levendi,Napa
552,Lobo,Napa
1671,Luna,Napa
64,Pine Ridge,Napa
39,Prime,Napa
8,Silverado,Napa
24,Stag's Leap Wine Cellars,Napa
1660,Brophy Clark,Nipomo
1067,Baron Cooper,Novato
491,Jenica Peak,Novato
159,Dashe Cellars,Oakland
577,B Cellars,Oakville
1559,Brick & Mortar,Oakville
849,Eponymous,Oakville
68,Flying Horse,Oakville
1095,Galerie,Oakville
1169,Hoopes,Oakville
1437,Boheme,Occidental
1484,Charles Heintz,Occidental
1327,Cobb,Occidental
521,Greyscale,Orinda
897,Herzog,Oxnard
525,Castle Rock,Palos Verdes Estates
188,Adelaida,Paso Robles
898,Aleksander,Paso Robles
484,Alta Colina,Paso Robles
586,Asuncion Ridge,Paso Robles
147,B & E,Paso Robles
598,Barton,Paso Robles
302,Bianchi,Paso Robles
36,Bishop's Peak,Paso Robles
1459,Brecon Estate,Paso Robles
1414,Brian Benson,Paso Robles
1503,Broadside,Paso Robles
653,Brochelle Vineyards,Paso Robles
535,Broken Earth,Paso Robles
542,Calcareous,Paso Robles
1265,Caliza,Paso Robles
1445,Cass,Paso Robles
829,Chateau Lettau,Paso Robles
1373,Chronic Cellars,Paso Robles
544,Clos Solene,Paso Robles
140,Croad,Paso Robles
959,Daou,Paso Robles
585,Derby,Paso Robles
1489,Dracaena,Paso Robles
1578,Dubost,Paso Robles
358,Dunning Vineyards,Paso Robles
269,Eberle,Paso Robles
796,Ecluse,Paso Robles
1269,EOS,Paso Robles
1724,Four Lanterns,Paso Robles
490,Four Vines,Paso Robles
1689,Giornata,Paso Robles
213,Gravity Hills,Paso Robles
1588,Halter Ranch,Paso Robles
1398,Herman Story,Paso Robles
599,Hoyt Family Vineyards,Paso Robles
719,Hug,Paso Robles
517,Hunt Cellars,Paso Robles
778,Jada Vineyard & Winery,Paso Robles
31,Justin,Paso Robles
1402,Kaleidos,Paso Robles
1763,Kiamie,Paso Robles
1493,kukkula,Paso Robles
1303,Law,Paso Robles
117,LaZarre,Paso Robles
861,Le Vigne,Paso Robles
1222,Levo,Paso Robles
650,Lone Madrone,Paso Robles
59,Lost Angel,Paso Robles
838,Lusso Della Terra,Paso Robles
769,LXV,Paso Robles
42,Opaque,Paso Robles
1168,Coruce,Pearblossom
1751,Azari,Petaluma
1401,Barber,Petaluma
376,Keller,Petaluma
447,Keller Estate,Petaluma
1044,Lombardi,Petaluma
15,Stephen Vincent,Petaluma
1428,Balo,Philo
190,Baxter,Philo
1482,Domaine Anderson,Philo
466,Drew,Philo
