,index,winery,vintage,points,cities,MarchLowTemp,MarchHighTemp,MarchAvgTemp,MarchPrecip,MarchCloudiness,MarchHumidity,AprilLowTemp,AprilHighTemp,AprilAvgTemp,AprilPrecip,AprilCloudiness,AprilHumidity,MayLowTemp,MayHighTemp,MayAvgTemp,MayPrecip,MayCloudiness,MayHumidity,JuneLowTemp,JuneHighTemp,JuneAvgTemp,JunePrecip,JuneCloudiness,JuneHumidity,JulyLowTemp,JulyHighTemp,JulyAvgTemp,JulyPrecip,JulyCloudiness,JulyHumidity,AugLowTemp,AugHighTemp,AugAvgTemp,AugPrecip,AugCloudiness,AugHumidity
0,6,Claiborne & Churchill,2009.0,88.0,San Luis Obispo,42.12903225806452,68.41935483870968,58.58064516129032,1.4999999999999998,12.870967741935484,61.38709677419355,42.8,72.16666666666667,62.9,0.5,12.2,53.6,50.12903225806452,81.6774193548387,73.03225806451613,0.4,7.0,52.16129032258065,49.7,79.73333333333333,72.33333333333333,0.1,13.666666666666666,58.766666666666666,58.193548387096776,91.06451612903226,82.93548387096774,0.0,2.6129032258064515,41.61290322580645,56.74193548387097,89.12903225806451,79.90322580645162,0.1,4.419354838709677,44.0
1,7,Claiborne & Churchill,2011.0,87.0,San Luis Obispo,43.806451612903224,62.16129032258065,55.25806451612903,9.4,35.03225806451613,76.90322580645162,45.666666666666664,68.5,61.233333333333334,0.4,15.233333333333333,65.2,49.096774193548384,68.93548387096774,62.83870967741935,0.9,12.612903225806452,62.87096774193548,53.9,70.96666666666667,66.06666666666666,0.8999999999999999,11.0,67.8,60.903225806451616,77.80645161290323,72.19354838709677,0.1,1.8387096774193548,62.0,61.74193548387097,79.16129032258064,73.80645161290323,0.0,2.5483870967741935,57.0
2,8,Claiborne & Churchill,2013.0,94.0,San Luis Obispo,47.354838709677416,68.54838709677419,60.516129032258064,1.2000000000000002,21.387096774193548,61.67741935483871,49.56666666666667,71.56666666666666,64.43333333333334,0.2,6.733333333333333,60.666666666666664,53.225806451612904,75.45161290322581,69.35483870967742,0.1,7.612903225806452,55.32258064516129,57.6,78.5,72.6,0.0,8.266666666666667,58.6,61.645161290322584,79.38709677419355,73.12903225806451,0.2,5.32258064516129,61.354838709677416,61.29032258064516,80.0,73.80645161290323,0.0,2.5161290322580645,59.806451612903224
3,9,Claiborne & Churchill,2014.0,93.0,San Luis Obispo,48.61290322580645,68.3225806451613,61.12903225806452,1.7999999999999998,22.29032258064516,64.25806451612904,49.0,71.06666666666666,64.1,0.4,13.5,61.5,54.774193548387096,76.70967741935483,70.38709677419355,0.0,10.419354838709678,52.12903225806452,56.03333333333333,78.0,71.9,0.0,1.2333333333333334,58.63333333333333,63.45161290322581,80.38709677419355,74.6774193548387,0.30000000000000004,10.03225806451613,63.61290322580645,62.096774193548384,80.29032258064517,73.96774193548387,0.0,2.6129032258064515,63.774193548387096
4,10,Claiborne & Churchill,2014.0,91.0,San Luis Obispo,48.61290322580645,68.3225806451613,61.12903225806452,1.7999999999999998,22.29032258064516,64.25806451612904,49.0,71.06666666666666,64.1,0.4,13.5,61.5,54.774193548387096,76.70967741935483,70.38709677419355,0.0,10.419354838709678,52.12903225806452,56.03333333333333,78.0,71.9,0.0,1.2333333333333334,58.63333333333333,63.45161290322581,80.38709677419355,74.6774193548387,0.30000000000000004,10.03225806451613,63.61290322580645,62.096774193548384,80.29032258064517,73.96774193548387,0.0,2.6129032258064515,63.774193548387096
5,11,Claiborne & Churchill,2015.0,95.0,San Luis Obispo,49.87096774193548,71.09677419354838,62.806451612903224,0.5,19.322580645161292,58.96774193548387,48.6,68.73333333333333,61.93333333333333,0.7999999999999999,21.0,61.56666666666667,49.67741935483871,67.90322580645162,62.0,0.4,20.806451612903224,73.09677419354838,57.96666666666667,77.66666666666667,71.6,0.0,7.9,62.3,61.58064516129032,78.61290322580645,72.80645161290323,2.1000000000000005,10.0,68.41935483870968,63.58064516129032,82.19354838709677,75.48387096774194,0.0,8.903225806451612,64.61290322580645
6,12,Claiborne & Churchill,2016.0,88.0,San Luis Obispo,48.935483870967744,67.16129032258064,60.25806451612903,3.4000000000000004,21.870967741935484,69.2258064516129,49.9,69.0,62.53333333333333,0.4,27.7,65.5,52.03225806451613,69.6774193548387,64.16129032258064,0.1,15.548387096774194,71.90322580645162,60.166666666666664,80.93333333333334,74.7,0.0,11.8,53.46666666666667,59.516129032258064,79.06451612903226,72.51612903225806,0.1,13.193548387096774,61.67741935483871,59.16129032258065,78.45161290322581,71.06451612903226,0.0,1.0,66.12903225806451
7,13,Lava Cap,2009.0,86.0,Placerville,37.41935483870968,51.83870967741935,46.32258064516129,11.2,24.677419354838708,75.83870967741936,41.56666666666667,60.733333333333334,54.2,2.7,16.833333333333332,62.166666666666664,51.38709677419355,74.25806451612904,67.38709677419355,4.999999999999999,18.129032258064516,58.225806451612904,52.2,78.06666666666666,71.23333333333333,0.5,10.633333333333333,53.2,58.096774193548384,90.48387096774194,81.54838709677419,0.0,1.8709677419354838,30.580645161290324,57.67741935483871,87.29032258064517,77.93548387096774,0.0,4.419354838709677,36.25806451612903
8,14,Lava Cap,2010.0,90.0,Placerville,37.58064516129032,51.29032258064516,46.064516129032256,8.4,29.774193548387096,76.2258064516129,38.53333333333333,53.166666666666664,47.8,10.200000000000001,34.63333333333333,79.4,42.61290322580645,62.774193548387096,56.45161290322581,5.1,23.096774193548388,67.06451612903226,53.13333333333333,79.0,71.86666666666666,0.2,10.3,50.2,55.193548387096776,89.12903225806451,80.19354838709677,0.0,1.064516129032258,38.903225806451616,49.38709677419355,85.09677419354838,74.48387096774194,0.0,2.225806451612903,45.61290322580645
9,15,Lava Cap,2010.0,83.0,Placerville,37.58064516129032,51.29032258064516,46.064516129032256,8.4,29.774193548387096,76.2258064516129,38.53333333333333,53.166666666666664,47.8,10.200000000000001,34.63333333333333,79.4,42.61290322580645,62.774193548387096,56.45161290322581,5.1,23.096774193548388,67.06451612903226,53.13333333333333,79.0,71.86666666666666,0.2,10.3,50.2,55.193548387096776,89.12903225806451,80.19354838709677,0.0,1.064516129032258,38.903225806451616,49.38709677419355,85.09677419354838,74.48387096774194,0.0,2.225806451612903,45.61290322580645
