,index,winery,vintage,points,cities,MarchLowTemp,MarchHighTemp,MarchAvgTemp,MarchPrecip,MarchCloudiness,MarchHumidity,AprilLowTemp,AprilHighTemp,AprilAvgTemp,AprilPrecip,AprilCloudiness,AprilHumidity,MayLowTemp,MayHighTemp,MayAvgTemp,MayPrecip,MayCloudiness,MayHumidity,JuneLowTemp,JuneHighTemp,JuneAvgTemp,JunePrecip,JuneCloudiness,JuneHumidity,JulyLowTemp,JulyHighTemp,JulyAvgTemp,JulyPrecip,JulyCloudiness,JulyHumidity,AugLowTemp,AugHighTemp,AugAvgTemp,AugPrecip,AugCloudiness,AugHumidity
0,6,Claiborne & Churchill,2009,88,San Luis Obispo,42.12903226,68.41935484,58.58064516,1.5,12.87096774,61.38709677,42.8,72.16666667,62.9,0.5,12.2,53.6,50.12903226,81.67741935,73.03225806,0.4,7,52.16129032,49.7,79.73333333,72.33333333,0.1,13.66666667,58.76666667,58.19354839,91.06451613,82.93548387,0,2.612903226,41.61290323,56.74193548,89.12903226,79.90322581,0.1,4.419354839,44
1,7,Claiborne & Churchill,2011,87,San Luis Obispo,43.80645161,62.16129032,55.25806452,9.4,35.03225806,76.90322581,45.66666667,68.5,61.23333333,0.4,15.23333333,65.2,49.09677419,68.93548387,62.83870968,0.9,12.61290323,62.87096774,53.9,70.96666667,66.06666667,0.9,11,67.8,60.90322581,77.80645161,72.19354839,0.1,1.838709677,62,61.74193548,79.16129032,73.80645161,0,2.548387097,57
2,8,Claiborne & Churchill,2013,94,San Luis Obispo,47.35483871,68.5483871,60.51612903,1.2,21.38709677,61.67741935,49.56666667,71.56666667,64.43333333,0.2,6.733333333,60.66666667,53.22580645,75.4516129,69.35483871,0.1,7.612903226,55.32258065,57.6,78.5,72.6,0,8.266666667,58.6,61.64516129,79.38709677,73.12903226,0.2,5.322580645,61.35483871,61.29032258,80,73.80645161,0,2.516129032,59.80645161
3,9,Claiborne & Churchill,2014,93,San Luis Obispo,48.61290323,68.32258065,61.12903226,1.8,22.29032258,64.25806452,49,71.06666667,64.1,0.4,13.5,61.5,54.77419355,76.70967742,70.38709677,0,10.41935484,52.12903226,56.03333333,78,71.9,0,1.233333333,58.63333333,63.4516129,80.38709677,74.67741935,0.3,10.03225806,63.61290323,62.09677419,80.29032258,73.96774194,0,2.612903226,63.77419355
4,10,Claiborne & Churchill,2014,91,San Luis Obispo,48.61290323,68.32258065,61.12903226,1.8,22.29032258,64.25806452,49,71.06666667,64.1,0.4,13.5,61.5,54.77419355,76.70967742,70.38709677,0,10.41935484,52.12903226,56.03333333,78,71.9,0,1.233333333,58.63333333,63.4516129,80.38709677,74.67741935,0.3,10.03225806,63.61290323,62.09677419,80.29032258,73.96774194,0,2.612903226,63.77419355
5,11,Claiborne & Churchill,2015,95,San Luis Obispo,49.87096774,71.09677419,62.80645161,0.5,19.32258065,58.96774194,48.6,68.73333333,61.93333333,0.8,21,61.56666667,49.67741935,67.90322581,62,0.4,20.80645161,73.09677419,57.96666667,77.66666667,71.6,0,7.9,62.3,61.58064516,78.61290323,72.80645161,2.1,10,68.41935484,63.58064516,82.19354839,75.48387097,0,8.903225806,64.61290323
6,12,Claiborne & Churchill,2016,88,San Luis Obispo,48.93548387,67.16129032,60.25806452,3.4,21.87096774,69.22580645,49.9,69,62.53333333,0.4,27.7,65.5,52.03225806,69.67741935,64.16129032,0.1,15.5483871,71.90322581,60.16666667,80.93333333,74.7,0,11.8,53.46666667,59.51612903,79.06451613,72.51612903,0.1,13.19354839,61.67741935,59.16129032,78.4516129,71.06451613,0,1,66.12903226
7,13,Lava Cap,2009,86,Placerville,37.41935484,51.83870968,46.32258065,11.2,24.67741935,75.83870968,41.56666667,60.73333333,54.2,2.7,16.83333333,62.16666667,51.38709677,74.25806452,67.38709677,5,18.12903226,58.22580645,52.2,78.06666667,71.23333333,0.5,10.63333333,53.2,58.09677419,90.48387097,81.5483871,0,1.870967742,30.58064516,57.67741935,87.29032258,77.93548387,0,4.419354839,36.25806452
8,14,Lava Cap,2010,90,Placerville,37.58064516,51.29032258,46.06451613,8.4,29.77419355,76.22580645,38.53333333,53.16666667,47.8,10.2,34.63333333,79.4,42.61290323,62.77419355,56.4516129,5.1,23.09677419,67.06451613,53.13333333,79,71.86666667,0.2,10.3,50.2,55.19354839,89.12903226,80.19354839,0,1.064516129,38.90322581,49.38709677,85.09677419,74.48387097,0,2.225806452,45.61290323
9,15,Lava Cap,2010,83,Placerville,37.58064516,51.29032258,46.06451613,8.4,29.77419355,76.22580645,38.53333333,53.16666667,47.8,10.2,34.63333333,79.4,42.61290323,62.77419355,56.4516129,5.1,23.09677419,67.06451613,53.13333333,79,71.86666667,0.2,10.3,50.2,55.19354839,89.12903226,80.19354839,0,1.064516129,38.90322581,49.38709677,85.09677419,74.48387097,0,2.225806452,45.61290323
10,16,Lava Cap,2011,88,Placerville,35.48387097,47.32258065,42.77419355,23.2,53.80645161,86.96774194,37,56.06666667,50.13333333,4,28.43333333,77.93333333,39.80645161,63.19354839,56.5483871,5.2,21.83870968,70.09677419,48.63333333,74.33333333,66.7,3.6,15.43333333,63.66666667,51.80645161,84.25806452,75.61290323,0,0.935483871,52.16129032,50.80645161,86.03225806,75.80645161,0,2.741935484,47.77419355
11,17,Lava Cap,2012,90,Placerville,35.67741935,49.70967742,44.19354839,19.1,43.61290323,81.06451613,40.13333333,60.9,54.3,7.7,27.83333333,74.4,44.12903226,72.58064516,64.51612903,0.3,8.677419355,59.83870968,48.53333333,78.63333333,70.9,1.2,5.933333333,50.8,51.03225806,86.25806452,75.87096774,0,1.612903226,50.80645161,54.4516129,89.77419355,78.87096774,0.1,3.709677419,43.67741935
12,18,Lava Cap,2013,89,Placerville,39.70967742,60.06451613,52.38709677,4.6,26.12903226,64.32258065,42.53333333,67.7,59.33333333,1.4,12.13333333,57.93333333,45.58064516,74.48387097,66.06451613,1.4,14.4516129,52.03225806,52.46666667,83.33333333,75.36666667,1,10.1,47.4,55.41935484,90.61290323,81.41935484,0,2.806451613,41.29032258,51.5483871,86.38709677,76.12903226,0.2,3.35483871,47.61290323
