Name,Country,Region,Description
Bakkwa,China,Fujian,"salty-sweet dried meat product similar to. It is traditionally made of pork, beef, or mutton, which is prepared with spices, sugar, salt and soy sauce, then dried on racks at around 50 to 60 °C"
Bayonne ham,France,Bayonne,"The ham is a slightly sweet, delicately flavoured meat with little salt to the taste. It is generally cut very thin and has a chewy texture in comparison to cooked hams."
Biltong,South Africa,Highveld,"Essentially, biltong is meat that has been cured and dried. It is served in slices or strips of varying thickness and can be made using a variety of different meats."
Black Forest Ham,Germany,Black Forest,"Raw ham is salted and seasoned with garlic, coriander, pepper, juniper berries and other spices. Black Forest ham is boneless and about one-fifth fat."
Borts,Mongolia,,"The fresh meat is cut into long strips, 2-3 cm thick and 5-7 cm wide. The strips are hung on strings under the roof of a ger, where the air is free to circulate."
Bresaola,Italy,Lombardy,"Bresaola is air-dried, salted beef (but it can also be made of horse, venison and pork) that has been aged two or three months until it becomes hard and turns a dark red, almost purple color. It is made from top (inside) round, and it is lean and tender, with a sweet, musty smell"
Brési,Switzerland,Jura,"Brési or Braisi is beef which has been salted, dried and smoked. Its name derives from its rich red colour reminiscent of brazilwood."
Bündnerfleisch,Switzerland,Graubünden,"The main ingredient is beef, taken from the animal’s upper thigh or shoulder, the fat and the sinews being removed. Before drying, the meat is treated with white wine and seasonings such as salt, onion and assorted herbs. It is also periodically pressed in order to separate out residual moisture: from this pressing Bündnerfleisch acquires its characteristic rectangular shape. "
Capocollo,Italy,,"In its production, capocollo is first lightly seasoned often with red and sometimes white wine, garlic, and a variety of herbs and spices that differs depending on region. The meat is then salted (and was traditionally massaged) and stuffed into a natural casing, and hung for up to six months to cure. Sometimes the exterior is rubbed with hot paprika before being hung and cured."
Carne Seca,Mexico,,Dried beef
Carne-de-sol,Brazil,,"Carne-de-sol, or jabá, is a dish from Northeastern Brazil of Sephardic Jewish origin. It consists of heavily salted beef, which is exposed to the sun for one or two days to cure."
Cecina,Spain,Leon,"Cecina is similar to ham and is made by curing cow, horse or rabbit meat. The best known cecina is Cecina de León, which is made of the hind legs of a cow, salted, smoked and air-dried in the province of León in northwestern Spain, and has PGI status."
Chipped Beef,United States,,"Chipped beef is a form of pressed, salted and dried beef that has been sliced into thin pieces. Some makers smoke the dried beef for more flavor. The modern product consists of small, thin, flexible leaves of partially dried beef, generally sold compressed together in jars or flat in plastic packets."
Chorizo,"Spain, Portugal",Iberian Peninsula,"Spanish chorizo is made from coarsely chopped pork and pork fat, seasoned with garlic, pimentón – a smoked paprika – and salt."
Conpoy,China,,"Conpoy or dried scallop is a type of Cantonese dried seafood product made from the adductor muscle of scallops. The smell of conpoy is marine, pungent, and reminiscent of certain salt-cured meats. Its taste is rich in umami due to its high content of various free amino acids, such as glycine, alanine, and glutamic acid."
Country Ham,United States,,"Country ham is a variety of heavily salted ham preserved by curing and smoking, associated with the cuisine of the Southern United States.[1] Used as a method of preservation from before widespread refrigeration, country ham is packed in a mixture of salts, sugar, and spices and allowed to cure for a long period of time, sometimes months, and often smoked afterwards. It is extremely dry and salty, often too salty to be palatable on its own."
Cured Pork Tenderloin,"Spain, Italy, Greece",,Cured pork tenderloin is found in various cuisines in Mediterranean Europe and South America. It is typically salted or brined then dry-cured or smoked.
