Color,Type,Varietal
Red,Bold Red,Malbec
Red,Bold Red,Syrah
Red,Bold Red,Shiraz
Red,Bold Red,Mourvedre
Red,Bold Red,Pinotage
Red,Bold Red,Petite Sirah
Red,Bold Red,Touriga Nacional
Red,Bold Red,Cabernet Sauvignon
Red,Bold Red,Bordeaux Blend
Red,Bold Red,Meritage
Red,Medium Red,Merlot
Red,Medium Red,Sangiovese
Red,Medium Red,Zinfandel
Red,Medium Red,Cavernet Franc
Red,Medium Red,Tempranillo
Red,Medium Red,Nebbiolo
Red,Medium Red,Barbera
Red,Medium Red,Cotes du Rhone Blend
White,Rich White,Chardonnay
White,Rich White,Semillon
White,Rich White,Viognier
White,Rich White,Marsanne
White,Rich White,Roussanne
,Rose,Provencal Rose
,Rose,White Zinfandel
,Rose,Pinot Noir Rose
,Rose,Syrah Rose
,Rose,Garnacha Rosado
,Rose,Bandol Rose
,Rose,Tempranillo Rose
,Rose,Saignee Method Rose
,Sparkling,Champagne
,Sparkling,Prosecco
,Sparkling,Cremant
,Sparkling,Cava
,Sparkling,Metodo Classico
,Sparkling,Sparkling Wine
,Sparkling,Sparkling Rose
,Dessert,Port
,Dessert,Sherry
,Dessert,Madeira
,Dessert,Vin Santo
,Dessert,Muscat
,Dessert,Pedro Ximenez
Red,Light Red,Pinot Noir
Red,Light Red,Grenache
Red,Light Red,Garnay
Red,Light Red,St. Laurent
Red,Light Red,Carignan
Red,Light Red,Counoise
White,Light White,Sauvignon Blanc
White,Light White,Albarino
White,Light White,Pinot Blanc
White,Light White,Vermentino
White,Light White,Melon de Bourgogne
White,Light White,Gargenega
White,Light White,Trebbiano
White,Light White,Pinot Gris
White,Light White,Pino Grigio
White,Sweet White,Moscato
White,Sweet White,Riesling
White,Sweet White,Chenin Blanc
White,Sweet White,Gewurztraminer
White,Sweet White,Late Harvest Whites
White,Sweet White,Alsacian Pinot Gris
