vintage,country,county,designation,points,price,province,title,variety,winery
1919-01-01,Spain,Cava,1919 Brut Selecció,88,13.00,Catalonia,L'Arboc NV 1919 Brut Selecció Sparkling (Cava),Sparkling Blend,L'Arboc
1929-01-01,Italy,Vernaccia di San Gimignano,,87,14.00,Tuscany,Guidi 1929 2015 Vernaccia di San Gimignano,Vernaccia,Guidi 1929
1929-01-01,Italy,Sangiovese di Romagna Superiore,Prugneto,84,15.00,Central Italy,Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore),Sangiovese,Poderi dal Nespoli 1929
1934-01-01,Portugal,,Reserva Velho,93,495.00,Colares,Adega Viuva Gomes 1934 Reserva Velho Red (Colares),Ramisco,Adega Viuva Gomes
1945-01-01,France,Rivesaltes,Legend Vintage,95,350.00,Languedoc-Roussillon,Gérard Bertrand 1945 Legend Vintage Red (Rivesaltes),Red Blend,Gérard Bertrand
1952-01-01,Portugal,,Colheita Tawny,96,415.00,Port,Burmester 1952 Colheita Tawny (Port),Port,Burmester
1963-01-01,Portugal,,Colheita Tawny,96,400.00,Port,Messias 1963 Colheita Tawny (Port),Port,Messias
1974-01-01,Portugal,,Colheita Tawny,93,175.00,Port,Barros 1974 Colheita Tawny (Port),Port,Barros
1978-01-01,Portugal,,Colheita Tawny,94,100.00,Port,Kopke 1978 Colheita Tawny (Port),Port,Kopke
1980-01-01,Portugal,,,93,137.00,Moscatel do Douro,Adega de Favaios 1980 Moscatel do Douro,Moscatel,Adega de Favaios
1984-01-01,Portugal,,Colheita,94,100.00,Port,Niepoort 1984 Colheita (Port),Port,Niepoort
1987-01-01,US,Sonoma Valley,Cherryblock,89,170.00,California,Sebastiani 1987 Cherryblock Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani
1989-01-01,France,Champagne,Diamant Bleu,91,70.00,Champagne,Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne),Champagne Blend,Heidsieck & Co Monopole
1989-01-01,Portugal,,Colheita Tawny,93,47.00,Port,Burmester 1989 Colheita Tawny (Port),Port,Burmester
1990-01-01,France,Champagne,Dom Pérignon Rosé,90,290.00,Champagne,Moët & Chandon 1990 Dom Pérignon Rosé (Champagne),Champagne Blend,Moët & Chandon
1991-01-01,US,Sonoma County,Brut L.D.,93,60.00,California,Iron Horse 1991 Brut L.D. (Sonoma County),Champagne Blend,Iron Horse
1992-01-01,US,Carneros,Royal Cuvee Brut,88,22.00,California,Gloria Ferrer 1992 Royal Cuvee Brut (Carneros),Champagne Blend,Gloria Ferrer
1992-01-01,US,Anderson Valley,Private Reserve Brut,91,32.00,California,Pacific Echo 1992 Private Reserve Brut (Anderson Valley),Champagne Blend,Pacific Echo
1992-01-01,Austria,,Solist,92,75.00,Kamptal,Kirchmayr 1992 Solist Riesling (Kamptal),Riesling,Kirchmayr
1993-01-01,US,Oregon,,86,24.00,Oregon,Rex Hill 1993 Oregon,Champagne Blend,Rex Hill
1994-01-01,Germany,,Kaseler Dominikanerberg Auslese,90,26.00,Mosel,C. von Nell-Breuning 1994 Kaseler Dominikanerberg Auslese Riesling (Mosel),Riesling,C. von Nell-Breuning
1994-01-01,Spain,Rioja,Gran Reserva,88,25.00,Northern Spain,Campo Viejo 1994 Gran Reserva (Rioja),Red Blend,Campo Viejo
1994-01-01,Italy,Vin Santo del Chianti Rufina,Riserva,93,140.00,Tuscany,Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina),White Blend,Fattoria di Grignano
1994-01-01,US,Sonoma County,,82,13.00,California,Gan Eden 1994 Chardonnay (Sonoma County),Chardonnay,Gan Eden
1995-01-01,France,Champagne,Premier Cru Blanc de Blancs Brut,89,48.00,Champagne,De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne),Champagne Blend,De Saint Gall
