Name,Country,Region,Description
Lacón Gallego,SPAIN,GALICIA,"Lacón Gallego is a cured and dried ham produced in the region of Galicia. This type of ham, unlike the jamon, is produced solely from pigs' shoulders. The breeds used in the production of this ham are Celt, Large White, Landrace or Duroc. There are two types of Lacón Gallego, depending on how the pigs are fed. Traditional Lacón Gallego is made from pigs that have been fed with acorns, grains, and vegetables for at least three months before the slaughter. The other type of ham does not contain 'traditional' in its title and is made of meat from pigs fed on the feed authorised by the regulatory board up until the slaughter."
Westfälischer Knochenschinken,GERMANY,WESTPHALIA,"The pork used to make this ham originates from the region of Westphalia, which is known for its traditional pig farming. The recipe is guarded as a trade secret, and every step in the production process is carried out entirely by hand. The process begins by rubbing salt of a special consistency with added herbs or spices into the ham and bone, which is then left to cure and dry in aging rooms for an extended period of time. To produce the smoked version, the hams are left in a smoking chamber over a beech and juniper wood fire. This process may take time, but it results in a characteristic dark red meat, golden-yellow rind, and a particularly mild and nutty flavor. To enjoy this delicacy, slice it thinly and serve it as an appetizer with pretzels and cheese."
Capocollo di Calabria,ITALY,CALABRIA,"Known as the jewel of the region, Capocollo di Calabria is a dry-cured pork neck. This delicacy was first introduced to southern Italy by the colonies of ancient Magna Graecia. The meat is boned and salted for about 4 to 8 days, then rinsed in vinegar, rubbed with peppercorns and coated in pepperoncino Calabrese chili powder. Cased in 'pelle di sugna', the inner lining of a pig stomach, the pork neck is tied and left to mature for at least 100 days. Traditionally eaten as an appetizer, Capocollo di Calabria is best enjoyed with a big slice of warm and crusty sourdough bread baked in a wood-fired oven, and a glass of hearty red wine."
Pancetta di Calabria,ITALY,CALABRIA,"The Italian word pancetta or pancia literally translates to 'belly' which means Pancetta di Calabria is actually a dry cured pork belly, a variety of unsmoked bacon. Fresh meat cuts come from pigs born and raised exclusively in this Italian region, and pancetta is made by processing 3 to 5 centimeters thick rectangular slabs of bacon with skin, weighing between 3 to 6 kilos. After being salted for about 4 to 14 days, it is washed and soaked in red wine vinegar, coated with pepperoncino Calabrese chili powder and lastly left to mature for at least 30 days. Pancetta di Calabria is traditionally eaten with warm sourdough breads, accompanied by full-bodied red wines."
Slinzega,ITALY,VALTELLINA,"Slinzega is a variety of dark red, air-dried salted beef charcuterie produced in the Italian province of Sondrio. Flavored with cinnamon, salt, cloves, pepper, garlic, bay leaves, and red wine, it is similar to another local product, the slightly more famous bresaola, but made with smaller, finer cuts of meat (leg and the topside or rump, covering the tenderloin), which results in a much stronger flavor. The origins can be traced back to the 1400s - some sources claim that it was originally prepared with horse meat rather than beef. Nowadays, many varieties exist, the most common being those made with beef, deer, or pork. Slinzega can be used as a flavor enhancer in cooking, or eaten on its own, thinly sliced or cut into little cubes and served with bread."
Posedarski prsut,CROATIA,ZADAR COUNTY,"Posedarski prsut is a variety of Dalmatian prosciutto that has been traditionally prepared in Posedarje. This Croatian gourmet delicacy is typically made from the hind legs of a high-quality pig. The meat is entirely free from any additives or preservatives, and it is seasoned only with sea salt before it is pressed, dried, and allowed to mature for at least 12 months. The drying process of the prosciutto usually involves smoking with juniper wood and drying naturally in the fierce Dalmatian bora wind, which is said to infuse the meat with droplets of pure sea salt directly from the sea as well as with the scent of fresh mountain air coming from the nearby Velebit Mountain."
Prosciutto crudo Saint Marcel,ITALY,AOSTA VALLEY,"Prosciutto crudo Saint Marcel is a type of raw Italian ham that is infused with mountain herbs. It originates from the small village of Saint Marcel, where the local population has been traditionally preparing it following an age-old method of production. Carefully selected high-quality pork thighs (obtained exclusively from pigs that are born and raised in Italy) are first dry-cured with salt and various aromatic mountain herbs before they are air-dried in the pure mountain air and allowed to mature for about 18 to 24 months."
Jambon de Lacaune,FRANCE,TARN,"Jambon de Lacaune is a dry-cured ham made from pig's meat in the French region of Tarn, in an alpine and Mediterranean climate. Fresh hams with a minimum weight of 9 kilograms and at least 10 mm of fat coverage are selected for the lengthy process of dry curing. The hams are rubbed with sea salt and pepper and left to mature, dry and ripen until the product is finished. When sliced, it is intensely red to dark red, lightly marbled and has a soft, delicate and supple texture. The mild aromas are well balanced, typical of dried, matured meats while the salty flavor is present, but not overpowering, a pointe de sel (a hint of salt), as the locals say."
Gailtaler Speck,AUSTRIA,CARINTHIA,"Traditionally produced in the Alpine Gailtal region since the 15th century, the delicious Gailtaler Speck is an Austrian variety of bacon. The meat used for its production must come from pigs reared either in the Gailtal Valley or the wider Carinthian area. It is first dry-salted, pressed, and marinated in brine; then seasoned with pepper, garlic, and juniper; and lastly air-cured and cold-smoked over beech and elder wood. Characterized by a rich, salty flavor and a well-pronounced aroma of smoked meat, this Carinthian delicacy is typically enjoyed as an appetizer but it can also be used in cooking, as it imparts a smoky flavor to various dishes."
Pancetta Piacentina,ITALY,PROVINCE OF PIACENZA,"Made from the pork cut of the so-called pancettone (belly), Pancetta Piacentina is an unsmoked and rolled variety of bacon and an authentic product of the Piacenza province, located in the Emilia-Romagna region. The processing of meat begins with dry-salting and seasoning, after which the Pancetta is refrigerated and left to rest for about 10 days. Next, the bacon is scrapped to remove any excess salt and spices, rolled up and sewn by hand at the side. Finally, Pancetta Piacentina is left to dry out and mature for at least 3 months at a temperature of 10-14°C and a relative humidity of about 70-90%, until the bacon attains its characteristic appearance and flavor."
Cecina de León,SPAIN,PROVINCE OF LEÓN,"Cecina de León is a cured meat product made from beef sirloin, centre leg, round and stifle. It is traditionally produced in the province of León. The production, which includes salting, curing and drying, can last for more than seven months. It is smoked using oak found in local forests which gives it a characteristic taste and aroma. This cured meat is a dark brown on the outside and deep dark red on the inside. Cecina de León has a characteristic beef flavor with smoky undertones and is very succulent and smooth in texture."
Violino di Capra,ITALY,CHIAVENNA,"Violino di capra, literally meaning goat violin, is an Italian goat prosciutto produced in the area surrounding the Northern Italian town of Chiavenna. The name comes from its shape, reminiscent of the violin, and the fact that the traditional method of slicing suggests placing it on a napkin under the chin with one hand while cutting it using a knife with the other - an action that truly resembles that of a violinist using his bow. Made with goat shoulder or thigh preserved in brine and flavored with garlic, spices, and red wine, violino di capra is shortly smoked, then aged in natural alpine cavities known as crotti. This Italian delicacy is best enjoyed thinly sliced, accompanied by homemade bread and a glass of red wine."
Speck Alto Adige,ITALY,AUTONOMOUS PROVINCE BOZEN - SOUTH TYROL,"Lighter in flavor than its heavily smoked Alpine counterparts, but more robust than the delicate Mediterranean prosciuttos, Speck is the most prized food product of the autonomous Trentino-Alto Adige, Italy's northernmost region also known as Südtirol or South Tyrol. With the region sharing not only a border but also strong cultural connections with the neighboring Austria, this distinctly flavored, smoked and cured ham represents the character of Alto Adige cuisine, which is an interesting blend of Northern European and Mediterranean traditions."
Pancetta (Liguria),ITALY,LIGURIA,"Produced exclusively from locally bred pigs and made by following ancient traditions, the Ligurian variety of pancetta is made with salt-cured pork belly flavored with lemon, pepper, cinnamon, nutmeg, and cloves. Covered with spices, pancetta is bound in asiunca, a special sort of skin found in pig intestines, and it is then left to mature for at least three months. Thinly sliced, it can be enjoyed raw or served as a cold cut alongside other types of cured meat and cheese, but it is also great when fried until crispy or wrapped around various grilled or baked vegetables, giving them a tasty, crunchy coating."
Guijuelo,SPAIN,PROVINCE OF SALAMANCA,"Guijuelo is a ham or a shoulder from pure-bred pigs of Ibérico breed made in the autonomous community of Extremadura. This ham has an exceptional ratio of sweet and savory flavors that are complemented by nutty and woody notes. It is a high-quality ham that melts in the mouth when thinly sliced. When cut, this ham is bright pink to red with evenly distributed white to light yellow fat stripes. These hams are cured and dried for a minimum of 18 months and must weigh more than four kilos. Guijuelo shoulders are produced in the same way except they are dried and cured for 12 months and must weigh more than 3,5 kilos."
Zlatiborska prsuta,SERBIA,ZLATIBOR DISTRICT,"Zlatiborska prsuta is a traditional Serbian smoked ham hailing from the mountainous region of Zlatibor, and it is usually associated with the village of Ma?kat. Following a century-old method of preparation, this meat specialty is typically made with the highest-quality beef or pork that is salted, then cold-smoked and air-dried. The whole process usually lasts for about a month, and during this time, the unique climate and terrain of the Zlatibor Mountains, as well as the beech wood used for smoking, infuse the meat with a distinctive, rich flavor and a pleasant aroma. This smoked meat is dark brown to red on the outside and dark red on the inside."
