,vintage,country,county,designation,points,price,province,title,variety,winery
0,1919,Spain,Cava,1919 Brut Selecció,88,13.0,Catalonia,L'Arboc NV 1919 Brut Selecció Sparkling (Cava),Sparkling Blend,L'Arboc
1,1929,Italy,Vernaccia di San Gimignano,,87,14.0,Tuscany,Guidi 1929 2015 Vernaccia di San Gimignano,Vernaccia,Guidi 1929
2,1929,Italy,Sangiovese di Romagna Superiore,Prugneto,84,15.0,Central Italy,Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore),Sangiovese,Poderi dal Nespoli 1929
3,1934,Portugal,,Reserva Velho,93,495.0,Colares,Adega Viuva Gomes 1934 Reserva Velho Red (Colares),Ramisco,Adega Viuva Gomes
4,1945,France,Rivesaltes,Legend Vintage,95,350.0,Languedoc-Roussillon,Gérard Bertrand 1945 Legend Vintage Red (Rivesaltes),Red Blend,Gérard Bertrand
5,1952,Portugal,,Colheita Tawny,96,415.0,Port,Burmester 1952 Colheita Tawny (Port),Port,Burmester
6,1963,Portugal,,Colheita Tawny,96,400.0,Port,Messias 1963 Colheita Tawny (Port),Port,Messias
7,1974,Portugal,,Colheita Tawny,93,175.0,Port,Barros 1974 Colheita Tawny (Port),Port,Barros
8,1978,Portugal,,Colheita Tawny,94,100.0,Port,Kopke 1978 Colheita Tawny (Port),Port,Kopke
9,1980,Portugal,,,93,137.0,Moscatel do Douro,Adega de Favaios 1980 Moscatel do Douro,Moscatel,Adega de Favaios
10,1984,Portugal,,Colheita,94,100.0,Port,Niepoort 1984 Colheita (Port),Port,Niepoort
11,1987,US,Sonoma Valley,Cherryblock,89,170.0,California,Sebastiani 1987 Cherryblock Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani
12,1989,France,Champagne,Diamant Bleu,91,70.0,Champagne,Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne),Champagne Blend,Heidsieck & Co Monopole
13,1989,Portugal,,Colheita Tawny,93,47.0,Port,Burmester 1989 Colheita Tawny (Port),Port,Burmester
14,1990,France,Champagne,Dom Pérignon Rosé,90,290.0,Champagne,Moët & Chandon 1990 Dom Pérignon Rosé (Champagne),Champagne Blend,Moët & Chandon
15,1991,US,Sonoma County,Brut L.D.,93,60.0,California,Iron Horse 1991 Brut L.D. (Sonoma County),Champagne Blend,Iron Horse
16,1992,US,Carneros,Royal Cuvee Brut,88,22.0,California,Gloria Ferrer 1992 Royal Cuvee Brut (Carneros),Champagne Blend,Gloria Ferrer
17,1992,US,Anderson Valley,Private Reserve Brut,91,32.0,California,Pacific Echo 1992 Private Reserve Brut (Anderson Valley),Champagne Blend,Pacific Echo
18,1992,Austria,,Solist,92,75.0,Kamptal,Kirchmayr 1992 Solist Riesling (Kamptal),Riesling,Kirchmayr
19,1993,US,Oregon,,86,24.0,Oregon,Rex Hill 1993 Oregon,Champagne Blend,Rex Hill
20,1994,Germany,,Kaseler Dominikanerberg Auslese,90,26.0,Mosel,C. von Nell-Breuning 1994 Kaseler Dominikanerberg Auslese Riesling (Mosel),Riesling,C. von Nell-Breuning
21,1994,Spain,Rioja,Gran Reserva,88,25.0,Northern Spain,Campo Viejo 1994 Gran Reserva (Rioja),Red Blend,Campo Viejo
