,Rank,Wine,Winery,Vintage,Score,Price,Notes,ListYear
0,24,Antinori Chianti Classico Pèppoli +,Antinori,1985,92,16.0,"Concentrated and beautifully formed, with sharply focused cherry, blackberr y and plum flavors, firm structure, long and ripe. Needs a year in the cell ar to tame the power. —",1988
1,29,Bonny Doon Pinot Noir Oregon Bethel Heights Vineyard +,Bonny Doon,1985,90,18.0,"Very pretty aromas and flavors, featuring violet, blackberry and a touch of lime, crisp balance, long and intense. Very tannic, but the rest is lovely . —",1988
2,19,René & Vincent Dauvissat Chablis Les Clos +,René & Vincent Dauvissat,1986,95,40.0,"Toasty and concentrated with rich pear, apple, spice and toasty spice flavo rs that explode on the palate. It's tart and vibrant with depth, complexity and a long full flinty finish that says Chablis. —",1988
3,1,Château Lynch Bages Pauillac +,Château Lynch Bages,1985,97,37.0,"Rich and massively concentrated, with layers of plum, anise, black cherry and tobacco, firm acidity and structure and thick, chewy, balanced tannins. Beautiful, elegant and stylish. One of the greatest Lynch Bages ever made; will improve with five or more years in the cellar. —",1988
4,31,B.R. Cohn Cabernet Sauvignon Sonoma Valley Olive Hill Vineyard +,B.R. Cohn,1985,94,16.0,"Gorgeous fruit, rich, supple, satiny with beautiful structure, amazing intensity and depth, rich cassis, butter, toasty oak and spicy flavors, plenty of tannin, but impeccibly balanced. Distinct and exciting. Drink 1994 to 2000. —",1988
5,35,Château Latour Pauillac +,Château Latour,1985,97,90.0,"A majestic wine, a bit hard and lean, with strong, firm tannins and a tight core of ripe cherry, currant and cassis flavors underneath that begin to unfold on the palate. A great concentration of fruit and tannins with a measure of elegance and finesse. All the greatness you expect. —",1988
6,69,Château Rieussec Sauternes +,Château Rieussec,1983,94,52.0,"Nectar-like if a bit on the sweet side, impressively complex, concentrated and focused. Deep gold, big, sweet and rich, with gobs of concentrated fig, brown sugar, butterscotch and oak flavor. A knockout. —",1988
7,37,Domaine de la Romanée-Conti La Tâche +,Domaine de la Romanée-Conti,1985,98,225.0,"Impressive concentration and depth, the kind of intense flavor, firm tannin, grace and harmony that assures a great wine in 10 to12 years. Flavors are so complex and harmonious that it s hard to pick out the individual elements, but you can find plum, vanilla, lilac and nutmeg. —",1988
8,49,Daniel Rion & Fils Vosne-Romanée Les Beaux-Monts +,Daniel Rion & Fils,1985,95,55.0,"Tightly focused and concentrated, sending a current of flavor right down th pepper and vanilla, elegant and firm, gaining complexity on the finish. Even at the price, it s a deal. —",1988
9,26,Penfolds Grange Hermitage South Australia Bin 95 +,Penfolds,1981,93,49.0,"A masterpiece, loaded with rich, smoky, plum, bacon, herbs and anise flavors woven together in a stylish packege, offering depth, complexity and impeccible balance, finishing with chocolate vanilla. Has intensity for decades. —",1988
10,41,Kendall-Jackson Cabernet Sauvignon California Proprietor's Reserve +,Kendall-Jackson,1985,95,20.0,"Sleek and elegant with an overlay of toasty French oak, layers of spice, currant, cassis and cherry flavors that are very attractive, beautifully balanced, supple tannins and a long, satisfying finish. Best after 1992. —",1988
11,27,Bodegas Alejandro Fernandez Ribera del Duero Pesquera Janus Reserva +,Bodegas Alejandro Fernandez,1982,94,75.0,"Deep, rich, ripe and powerful, with slightly earthy-herbal plum and cherry flavors, big and complex, tannic, with a touch of anise on the finish. Complex and fascinating. It will need a good 5-10 years to shed its tannin, but the concentration is superb. —",1988
12,78,A. Rafanelli Zinfandel Dry Creek Valley +,A. Rafanelli,1986,91,7.0,"Very firm and concentrated and focused, amazingly layered with blackberry, cassis and plum fruit, cedary overtones from spicy oak and a bracing touch of acidity and tannin to wrap it up and keep it from showing everything it has for 2-3 years. —",1988
13,60,Pierre Gelin Gevrey-Chambertin +,Pierre Gelin,1985,93,25.0,"Firm and tannic, with concentrated raspberry, black cherry and red currant fruit, overtones of sweet oak and flowers, a many-faceted wine with mouthwa tering flavors, structure and texture. A lot of Burgundy for the price. —",1988
14,25,Torres Penedès White Milmanda +,Torres,1987,94,35.0,"Stunning wine, beautifully balanced, smoothly knit, flavorful and long. It does a great impersonation of a Chevalier-Montrachet, with all the spice, toast and honey around a solid core of pear fruit. Will it age like it? Who knows, but it's pro. —",1988
15,42,Louis Jadot Nuits-St.-Georges Clos des Corvées +,Louis Jadot,1985,96,46.0,"Big, rich and deep, with incredible balance and concentration of ripe plum- cherry fruit and mahogany wood, velvety texture, sweet toast tea leaf on th e finish. Couldn't ask for better balance or length. —",1988
16,6,Castellare di Castellina I Sodi di San Niccolò +,Castellare di Castellina,1985,96,25.0,"Loaded with rich, ripe, spicy, plummy fruit, hints of violet and vanilla, beautifully shaped and framed with oak. Smooth and elegant, but containing e nough soft tannin to carry it for years. One of the greatest of the new Italian reds. —",1988
17,57,Kendall-Jackson Merlot Alexander Valley +,Kendall-Jackson,1986,93,16.0,"Effusively fruity, bursting with cherry aroma and flavor, complicated by other berries and the right touch of oak, beautifully structured, firm, tight and long. Needs time to lose the tannic toughness on the finish. Best after 1991. —",1988
18,12,Pétrus Pomerol +,Pétrus,1985,98,160.0,"A massive concentration of rich, intense plum, cherry, spice, smoke and cho colate flavors that are wrapped in thick, rich tannins and cedary oak. It g ains intensity and vibrancy on the palate, a powerful wine with a distinct personality that will stand 20 years of cellaring- and then some. A great Petrus. —",1988
19,50,Château Climens Barsac +,Château Climens,1983,95,50.0,"Beautifully crafted, plump, very long and complex. Medium gold, lush and si lky, with lemon, fig, apricot, pear, and a particualrly elegant balance of acidity, fruit and wood. Power and finesse in the same package. Drink now through 2000. —",1988
20,58,Château du Tertre Margaux +,Château du Tertre,1985,93,14.0,"Rich, complex and elegant, concentrated and intense with layers of cedar, c assis, plum and cherries, offering uncommon depth, finesse and refinement. A great wine at a terrific price. —",1988
21,73,Château Rayas Châteauneuf-du-Pape Réservé +,Château Rayas,1985,93,41.0,"Deliciously rich, ripe and jammy with effusively ripe plum, cherry and raspberry fruit that's soft, smooth and silky. Opulent style, crisp acidity and enough tannin for a decade or more. A real mouthful of wine from a great producer. Drink now through 2000. —",1988
22,11,Louis Latour Romanée St.-Vivant Les Quatre Journaux +,Louis Latour,1985,98,99.0,"Seamlessly complex, full of flavor yet so beautifully knit it's hard to pic k out the nutmeg-tinged black cherry, chocolate and vanilla flavors. Velvet y in texture, filled with intense, sweet fruit. Full-bodied, toasty, yet de licate, it has all the attributes of greatness. —",1988
23,10,Joseph Drouhin Montrachet Marquis de Laguiche +,Joseph Drouhin,1986,97,200.0,"Uncommon depth and complexity, the rich intense butterscotch, pear, peach a nd smoky flavors combine to give it a gorgeous supple texture. It's beautifully framed with toasty oak that's fully integrated. Graceful and subtle on the finish. —",1988
24,3,Domaine de la Romanée-Conti Richebourg +,Domaine de la Romanée-Conti,1985,100,210.0,"A truly great wine. Amazing concentration, brimming with focused cherry, plum, smoke and cinnamon flavors, all tied together into a harmonious package that keeps echoing and changing with every sip. Beautfiully smooth but firm on the palate, it has the uncanny feeling of power with no weight, only mass. —HS",1988
25,5,Gaja Barbaresco Sorì Tildìn +,Gaja,1985,97,94.0,"A majestic wine, beautifully harmonious, seamless and integrated, with magn ificent fruit, matchless complexity and stunning depth of flavor. Hints of violet, toast and nutmeg enrich the plummy raspberry fruit. Long and tight on the finish. —",1988
26,51,Château Figeac St.-Emilion +,Château Figeac,1985,95,37.0,"Great intensity of flavor without too much weight, beautifully craftte, ele gant and structured, supple and rounded, with plum, spice, chocolate and cu rrant flavors that are well knit. Finishes with great length, finesse and s ubtlety. —",1988
27,40,Ca' del Bosco Maurizio Zanella +,Ca' del Bosco,1985,92,38.0,"Smooth and supple, with rich berry, cherry and smoky flavors, velvety and expansive on the palate, yet elegant and balanced with acidity. Blends the best of Sangiovese and Cabernet, plus a nice touch of oak, and it feels like it can only get better. Drink now through 1992. —",1988
28,15,Ridge Cabernet Sauvignon Santa Cruz Mountains Monte Bello +,Ridge,1985,95,35.0,"Rich, tannic, intense and young, but it's packed with concentrated plum, currant, mint, toast and chocolate flavors that unfold with elegance and finesse. Will only get better and more complex with time. Built to last. Drink now through 2000. 2,220 cases made. —",1988
29,30,Domenico Clerico Arte +,Domenico Clerico,1985,91,22.0,"The distinctive raspberry tang of Nebbiolo is the beautiful core around which this elegant, full-bodied wine is built. So artfully balanced it's drinkable now, but the tightly wound flavors need 3-4 years to unfold. —HS",1988
30,44,Frog's Leap Cabernet Sauvignon Napa Valley +,Frog's Leap,1986,94,14.0,"A beautiful wine, concentrated, velvety and elegant, with delicious violet- tinged cherry and currant aromas and flavors, firm but not overwhelming tannins, and a crisp undertone of acidity to support the finish. —",1988
31,14,Gaja Barbaresco Sorì San Lorenzo +,Gaja,1985,96,88.0,"A bit more austere than the others, but it hangs a lot of flavor on an elegant frame, showing toasty, spicy raspberry aromas and flavors, tightly wound and long. —",1988
32,13,Gaja Barbaresco Costa Russi +,Gaja,1985,96,83.0,"Remarkable in its concentration and elegance, with marvelously focused raspberry and cherry flavors and hints of chocolate and anise. Muscular; without an ounce of excess weight and with just a touch of tannin to lose. Drink 1993-2005 . —",1988
33,83,Inglenook-Napa Valley Merlot Napa Valley Reserve +,Inglenook-Napa Valley,1985,91,14.0,"Deep in color and fairly tannic with deep berry fruit and oaky aromas. On the palate it's concentrated with rich, elegant, black cherry flavors. Has intensity but it's not overblown. —",1988
34,63,Avignonesi Chardonnay Il Marzocco +,Avignonesi,1986,92,16.0,"One of the greatest Italian whites ever. Rich and aromatic with apricot, nutmeg and honey on the nose, and full, concentrated fruit and a touch of oak on the palate, with moderate tannins and good extract. Has great complexity and weight. —",1988
35,28,San Felice Predicato di Bitùrica +,San Felice,1982,92,19.0,"Dark, dense and ripe, with concentrated cherry, berry and plum on the nose and palate, silky smooth, chocolatey, beautifully balanced. Drinkable already, but it has the stuff to grow. —",1988
36,89,Husch Gewürztraminer Anderson Valley +,Husch,1987,90,7.0,"Nearly identical to a fine Alsace Gewürz. Lovely rose petal and grapefruit aromas, with crisp, concentrated flavors of apple and grapefruit. —",1988
