,Unnamed: 0,vintage,country,county,designation,points,price,province,title,variety,winery
0,0,1919,Spain,Cava,1919 Brut Seleccio,88,13.0,Catalonia,L'Arboc NV 1919 Brut Seleccio Sparkling (Cava),Sparkling Blend,L'Arboc
1,1,1929,Italy,Vernaccia di San Gimignano,,87,14.0,Tuscany,Guidi 1929 2015 Vernaccia di San Gimignano,Vernaccia,Guidi 1929
2,2,1929,Italy,Sangiovese di Romagna Superiore,Prugneto,84,15.0,Central Italy,Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore),Sangiovese,Poderi dal Nespoli 1929
3,3,1934,Portugal,,Reserva Velho,93,495.0,Colares,Adega Viuva Gomes 1934 Reserva Velho Red (Colares),Ramisco,Adega Viuva Gomes
4,4,1945,France,Rivesaltes,Legend Vintage,95,350.0,Languedoc-Roussillon,Gerard Bertrand 1945 Legend Vintage Red (Rivesaltes),Red Blend,Gerard Bertrand
5,5,1952,Portugal,,Colheita Tawny,96,415.0,Port,Burmester 1952 Colheita Tawny (Port),Port,Burmester
6,6,1963,Portugal,,Colheita Tawny,96,400.0,Port,Messias 1963 Colheita Tawny (Port),Port,Messias
7,7,1974,Portugal,,Colheita Tawny,93,175.0,Port,Barros 1974 Colheita Tawny (Port),Port,Barros
8,8,1978,Portugal,,Colheita Tawny,94,100.0,Port,Kopke 1978 Colheita Tawny (Port),Port,Kopke
9,9,1980,Portugal,,,93,137.0,Moscatel do Douro,Adega de Favaios 1980 Moscatel do Douro,Moscatel,Adega de Favaios
10,10,1984,Portugal,,Colheita,94,100.0,Port,Niepoort 1984 Colheita (Port),Port,Niepoort
11,11,1987,US,Sonoma Valley,Cherryblock,89,170.0,California,Sebastiani 1987 Cherryblock Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani
12,12,1989,France,Champagne,Diamant Bleu,91,70.0,Champagne,Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne),Champagne Blend,Heidsieck & Co Monopole
13,13,1989,Portugal,,Colheita Tawny,93,47.0,Port,Burmester 1989 Colheita Tawny (Port),Port,Burmester
14,14,1990,France,Champagne,Dom Perignon Rose,90,290.0,Champagne,Moet & Chandon 1990 Dom Perignon Rose (Champagne),Champagne Blend,Moet & Chandon
15,15,1991,US,Sonoma County,Brut L.D.,93,60.0,California,Iron Horse 1991 Brut L.D. (Sonoma County),Champagne Blend,Iron Horse
16,16,1992,US,Carneros,Royal Cuvee Brut,88,22.0,California,Gloria Ferrer 1992 Royal Cuvee Brut (Carneros),Champagne Blend,Gloria Ferrer
17,17,1992,US,Anderson Valley,Private Reserve Brut,91,32.0,California,Pacific Echo 1992 Private Reserve Brut (Anderson Valley),Champagne Blend,Pacific Echo
18,18,1992,Austria,,Solist,92,75.0,Kamptal,Kirchmayr 1992 Solist Riesling (Kamptal),Riesling,Kirchmayr
19,19,1993,US,Oregon,,86,24.0,Oregon,Rex Hill 1993 Oregon,Champagne Blend,Rex Hill
20,20,1994,Germany,,Kaseler Dominikanerberg Auslese,90,26.0,Mosel,C. von Nell-Breuning 1994 Kaseler Dominikanerberg Auslese Riesling (Mosel),Riesling,C. von Nell-Breuning
21,21,1994,Spain,Rioja,Gran Reserva,88,25.0,Northern Spain,Campo Viejo 1994 Gran Reserva (Rioja),Red Blend,Campo Viejo
22,22,1994,Italy,Vin Santo del Chianti Rufina,Riserva,93,140.0,Tuscany,Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina),White Blend,Fattoria di Grignano
23,23,1994,US,Sonoma County,,82,13.0,California,Gan Eden 1994 Chardonnay (Sonoma County),Chardonnay,Gan Eden
24,24,1995,France,Champagne,Premier Cru Blanc de Blancs Brut,89,48.0,Champagne,De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne),Champagne Blend,De Saint Gall
25,25,1995,France,Champagne,Grand Cru Millesime Blanc de Blancs Brut,91,,Champagne,Drappier 1995 Grand Cru Millesime Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Drappier
26,26,1995,France,Champagne,Grande Cru Brut,90,60.0,Champagne,Soutiran 1995 Grande Cru Brut (Champagne),Champagne Blend,Soutiran
27,27,1995,Italy,Brunello di Montalcino,Riserva,84,56.0,Tuscany,Poggio Antico 1995 Riserva (Brunello di Montalcino),Sangiovese,Poggio Antico
28,28,1995,US,Anderson Valley,Blanc de Blancs,89,27.0,California,Pacific Echo 1995 Blanc de Blancs (Anderson Valley),Champagne Blend,Pacific Echo
29,29,1995,US,Sonoma County,Russian Cuvee,89,26.0,California,Iron Horse 1995 Russian Cuvee (Sonoma County),Champagne Blend,Iron Horse
30,30,1995,US,Anderson Valley,Blanc de Blancs,86,30.0,California,Handley 1995 Blanc de Blancs (Anderson Valley),Champagne Blend,Handley
31,31,1995,Spain,Rioja,Gran Reserva 904,92,60.0,Northern Spain,La Rioja Alta 1995 Gran Reserva 904 (Rioja),Tempranillo Blend,La Rioja Alta
32,32,1995,Germany,,Kaseler Dominikanerberg Spatlese,90,27.0,Mosel,C. von Nell-Breuning 1995 Kaseler Dominikanerberg Spatlese Riesling (Mosel),Riesling,C. von Nell-Breuning
33,33,1995,South Africa,,,87,17.0,Stellenbosch,Middelvlei 1995 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Middelvlei
34,34,1995,US,Anderson Valley,Brut,88,25.0,California,Handley 1995 Brut (Anderson Valley),Champagne Blend,Handley
35,35,1995,Spain,Almansa,Reserva,84,10.0,Central Spain,Castillo de Almansa 1995 Reserva Red (Almansa),Red Blend,Castillo de Almansa
36,36,1996,US,California,Coastal Reserve,83,22.0,California,Meridian 1996 Coastal Reserve Cabernet Sauvignon (California),Cabernet Sauvignon,Meridian
37,37,1996,US,Yakima Valley,Whiskey Canyon Vyd,84,29.0,Washington,Covey Run 1996 Whiskey Canyon Vyd Cabernet Sauvignon (Yakima Valley),Cabernet Sauvignon,Covey Run
38,38,1996,US,Sonoma County,Winemaker's Reserve,88,35.0,California,Chateau Souverain 1996 Winemaker's Reserve Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Chateau Souverain
39,39,1996,US,Napa Valley,Brut,86,28.0,California,S. Anderson 1996 Brut (Napa Valley),Champagne Blend,S. Anderson
40,40,1996,Hungary,,Szt. Tamas Aszu 6 Puttonyos,91,77.0,Tokaji,Royal Tokaji 1996 Szt. Tamas Aszu 6 Puttonyos (Tokaji),Tokaji,Royal Tokaji
41,41,1996,Italy,Chianti Classico,Riserva,84,18.0,Tuscany,Querceto 1996 Riserva (Chianti Classico),Sangiovese,Querceto
42,42,1996,France,Champagne,Cuvee Femme Brut,95,120.0,Champagne,Duval-Leroy 1996 Cuvee Femme Brut (Champagne),Champagne Blend,Duval-Leroy
43,43,1996,France,Champagne,Dom Ruinart Brut Rose,92,,Champagne,Ruinart 1996 Dom Ruinart Brut Rose (Champagne),Champagne Blend,Ruinart
44,44,1996,Spain,Valencia,Reserva,85,9.0,Levante,Castillo Catadau 1996 Reserva Red (Valencia),Tempranillo Blend,Castillo Catadau
45,45,1996,France,Champagne,Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut,94,,Champagne,Pascal Doquet 1996 Le Mesnil sur Oger Grand Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pascal Doquet
46,46,1996,Italy,Chianti Classico,Riserva,83,26.0,Tuscany,Castellare 1996 Riserva (Chianti Classico),Sangiovese,Castellare
47,47,1996,US,Sonoma Valley,Drummond Vineyard,87,24.0,California,Kunde 1996 Drummond Vineyard Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Kunde
48,48,1996,Australia,Padthaway,Reserve,88,46.0,South Australia,Stonehaven 1996 Reserve Shiraz (Padthaway),Shiraz,Stonehaven
49,49,1996,Italy,Piedmont,Dino Nero Spumante,90,36.0,Piedmont,Bruno Giacosa 1996 Dino Nero Spumante (Piedmont),Champagne Blend,Bruno Giacosa
