winery,web,region,country
Bodegas Boukas,,,Albania 
Boukas Winery,http://www.boukaswinery.com/index.html,,Albania 
Kantina Arberi,http://www.kantina-arberi.com/,,Albania 
Kantina Bardha,http://kantinabardha.com/,,Albania 
Kantina Cobo,,,Albania 
Kantina e Veres Kardinal,http://www.verakardinal.com/index.html,,Albania 
Kantina e Veres Luani,http://www.kantina-luani.com/,,Albania 
Kantina Gjergj Kastrioti Skenderbeu,http://www.kantinaskenderbeu.al/,,Albania 
Kantina Rilindja,http://www.kantinarilindja.com/,,Albania 
Kantina SARA,http://www.kantinasara.com/en/index.html,,Albania 
Kokomani Winery,http://www.kokomani-winery.com/,,Albania 
