winery,web,region,country,latlong
Apsley Gorge Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Barringwood Park,, Tasmania  ,Australia ,
Bellingham Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Bream Creek Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Brook Eden Vineyard,, Tasmania  ,Australia ,
Buchanan,, Tasmania - Northern Tasmania  ,Australia ,
Bundaleera Vineyard,, Tasmania  ,Australia ,
Chalmers Winery,, Tasmania  ,Australia ,
Charles Reuben Estate,, Tasmania  ,Australia ,
Cliffhouse Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Clover Hill Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Coal Valley Vineyard,, Tasmania  ,Australia ,
Colmaur Tasmania,, Tasmania - Southern Tasmania  ,Australia ,
Coombend Estate,, Tasmania  ,Australia ,
Craigie Knowe Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Crosswinds Vineyard,, Tasmania  ,Australia ,
Dalrymple Vineyards,, Tasmania  ,Australia ,
Delamere,, Tasmania - Northern Tasmania  ,Australia ,
Derwent Estate Vineyard,, Tasmania  ,Australia ,
Domaine A,, Tasmania - Southern Tasmania  ,Australia ,
East Arm Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Elmslie Wines,, Tasmania - Northern Tasmania  ,Australia ,
Elsewhere Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Freycinet Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Geebin Vineyard,, Tasmania  ,Australia ,
Ghost Rock Vineyard,, Tasmania - Cradle Coast  ,Australia ,
Glen Ayr,, Tasmania - Southern Tasmania  ,Australia ,
Golders Vineyard,, Tasmania  ,Australia ,
Grey Sands Vineyard,, Tasmania - Tamar Valley  ,Australia ,
Hartzview Vineyard,, Tasmania  ,Australia ,
Hawley Vineyards,, Tasmania - Cradle Coast  ,Australia ,
Heemskerk,, Tasmania - Northern Tasmania  ,Australia ,
Herons Rise Vineyard,, Tasmania  ,Australia ,
Hillwood Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Holm Oak,, Tasmania - Northern Tasmania  ,Australia ,
Home Hill Wines,, Tasmania  ,Australia ,
Hood Wines,, Tasmania - Coal River Valley  ,Australia ,
House of Arras,, Tasmania  ,Australia ,
Iron Pot Bay Wines,, Tasmania - Northern Tasmania  ,Australia ,
Kinvarra Estate,, Tasmania  ,Australia ,
Kraanwood,, Tasmania - Southern Tasmania  ,Australia ,
La Provence Vineyards,, Tasmania - Northern Tasmania  ,Australia ,
Lake Barrington Estate Vineyard,, Tasmania - Southern Tasmania  ,Australia ,
Lalla Gully Vineyard,, Tasmania  ,Australia ,
Laurel Bank,, Tasmania  ,Australia ,
Legana Vineyard,, Tasmania  ,Australia ,
Leven Valley Vineyard,, Tasmania - Cradle Coast  ,Australia ,
Marions Vineyard,, Tasmania - Northern Tasmania  ,Australia ,
Meadowbank,, Tasmania - Southern Tasmania  ,Australia ,
Milford Vineyard,, Tasmania  ,Australia ,
