winery,web,region,country,latlong
Adora Estate Winery,, British Columbia  ,Canada ,
Alderlea Vineyards,, British Columbia  ,Canada ,
Arrowleaf Cellars INC,, British Columbia - Okanagan Valley  ,Canada ,
Bella Vista Vineyards,, British Columbia  ,Canada ,
Benchland Vineyards,, British Columbia  ,Canada ,
Black Hills Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
Blasted Church,, British Columbia  ,Canada ,
Blossom Winery,, British Columbia  ,Canada ,
Blue Mountain Vineyard & Cellars,, British Columbia - Okanagan Valley  ,Canada ,
Bonaparte Bend Winery Ltd.,, British Columbia  ,Canada ,
Burrowing Owl Vineyards,, British Columbia - Okanagan Valley  ,Canada ,
Calliope Vintners,, British Columbia  ,Canada ,
Calona Vineyards,, British Columbia - Okanagan Valley  ,Canada ,
Carriage House Wines,, British Columbia  ,Canada ,
Cedar Creek Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
CedarCreek Estate Winery,, British Columbia  ,Canada ,
Chalet Estate Vineyards,, British Columbia  ,Canada ,
Chateau Ste. Claire Estate Winery,, British Columbia  ,Canada ,
Chateau Wolff,, British Columbia  ,Canada ,
Columbia Gardens Winery,, British Columbia  ,Canada ,
Columbia Valley Classics Winery,, British Columbia  ,Canada ,
Crowsnest Vineyards,, British Columbia  ,Canada ,
Divino Estate Winery Ltd,, British Columbia  ,Canada ,
Domaine Combret,, British Columbia  ,Canada ,
East Kelowna Cider Company,, British Columbia  ,Canada ,
Echoing Green Vineyard & Winery,, British Columbia  ,Canada ,
Elephant Island Orchard Wines,, British Columbia  ,Canada ,
Fairview Cellars,, British Columbia  ,Canada ,
First Estate Cellars,, British Columbia  ,Canada ,
Garry Oakes Vineyard,, British Columbia  ,Canada ,
Gehringer Brothers Estate Winery,, British Columbia  ,Canada ,
Gersighel Wineberg,, British Columbia  ,Canada ,
Glenterra Vineyards,, British Columbia  ,Canada ,
Glenugie Vineyard,, British Columbia  ,Canada ,
Godfrey-Brownell Vineyards,, British Columbia  ,Canada ,
Golden Mile Cellars,, British Columbia  ,Canada ,
Gray Monk Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
Hainle Vineyards Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
Hawthorne Mountain Vineyard,, British Columbia  ,Canada ,
Hester Creek Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
Hillside Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
House Of Rose Winery,, British Columbia - Okanagan Valley  ,Canada ,
Hunting Hawk Winery,, British Columbia  ,Canada ,
Inniskillin Okanagan Vineyard Inc.,, British Columbia  ,Canada ,
Jackson-Triggs Niagara Estate Winery,, British Columbia  ,Canada ,
Kettle Valley Winery,, British Columbia  ,Canada ,
La Frenz Estate Winery,, British Columbia  ,Canada ,
Lake Breeze Vineyards,, British Columbia  ,Canada ,
Lang Vineyards,, British Columbia - Okanagan Valley  ,Canada ,
Larch Hills Winery,, British Columbia - Okanagan Valley  ,Canada ,
Lotusland Vineyard,, British Columbia  ,Canada ,
Mark Anthony Cellars LTD,, British Columbia  ,Canada ,
Marshwood Estate Winery,, British Columbia  ,Canada ,
Merridale Cider Works,, British Columbia  ,Canada ,
Merridale Estate Cidery,, British Columbia  ,Canada ,
Mission Hill Family Estate,, British Columbia  ,Canada ,
Mt Boucherie Estate Winery,, British Columbia  ,Canada ,
Newton Ridge Vineyards,, British Columbia  ,Canada ,
Nichol Vineyard,, British Columbia  ,Canada ,
Nk' MIP Cellars,, British Columbia  ,Canada ,
Osoyoos Cellars,, British Columbia  ,Canada ,
Paradise Ranch Wines Corp.,, British Columbia - Okanagan Valley  ,Canada ,
Pemberton Valley Vineyard In.,, British Columbia  ,Canada ,
Pêntage Winery,, British Columbia  ,Canada ,
Pinot Reach Cellars,, British Columbia - Okanagan Valley  ,Canada ,
Poplar Grove,, British Columbia  ,Canada ,
Port Winery Company Inc.,, British Columbia  ,Canada ,
Quails' Gate Estate Winery,, British Columbia - Okanagan Valley  ,Canada ,
Recline Ridge Vineyards & Winery,, British Columbia - Okanagan Valley  ,Canada ,
Red Rooster Winery,, British Columbia  ,Canada ,
Riverbend Vineyards,, British Columbia  ,Canada ,
Rollingdale Estates,, British Columbia  ,Canada ,
Saint Hubertus Estate Winery,, British Columbia  ,Canada ,
Saint Laszlo Vineyards,, British Columbia  ,Canada ,
Sandhill,, British Columbia - Okanagan Valley  ,Canada ,
Saturna Island Vineyards,, British Columbia - Saturna  ,Canada ,
Scherzinger Vineyards,, British Columbia - Okanagan Valley  ,Canada ,
Silver Sage Winery,, British Columbia  ,Canada ,
