winery,web,region,country,latlong
Agustinos,,,Chile ,
Alfasi,, Maule Valley  ,Chile ,
Almaviva Winery,,,Chile ,
Altair Vineyards & Winery,,,Chile ,
"Amayna, Vina Garces Silva",,,Chile ,
Anakena Wines,, Rapel - Cachapoal  ,Chile ,
Antiyal,, Maipo  ,Chile ,
Apalta Vineyards -Viña Montes,, Curico  ,Chile ,
Apaltagua Winery,, Colchagua Valley - Apalta  ,Chile ,
Arboleda / Caliterra,, Maipo  ,Chile ,
Balduzzi Wines,, Maule  ,Chile ,
Bodega Cecchin,,,Chile ,
Bodega y Viñedos Apaltagua,,,Chile ,
Bodegas Santo Domingo,,,Chile ,
Bodegas Vina Selentia / Iverus,,,Chile ,
Bodegas y Vinedos Korta,,,Chile ,
Botalcura Winery,, Maule  ,Chile ,
Calina,, Maule  ,Chile ,
Carmen,, Maipo  ,Chile ,
Casa Donoso,, Maule  ,Chile ,
Casa Julia Estate,, Rapel  ,Chile ,
Casa Lapostolle,, Rapel - Cachapoal  ,Chile ,
Casa Verdi Winery,," Aconcagua, Rapel, Curico & Maule  ",Chile ,
Casas del Bosque,,,Chile ,
Castillo De Molina,, Curico  ,Chile ,
Chateau/ Vina Los Boldos  ,, Rapel - Cachapoal  ,Chile ,
Chinigue Winery,, Itata Valley  ,Chile ,
Concha y Toro,, Maipo  ,Chile ,
Correa Albano,, Curico  ,Chile ,
Cremaschi Furlotti,, Maule  ,Chile ,
Curimon Wines,,,Chile ,
De Martino,, Maipo  ,Chile ,
Elkan Wines,,,Chile ,
Empresas Lourdes,, Maipo  ,Chile ,
Gillmore,, Maule  ,Chile ,
Gracia de Chile,, Rapel - Cachapoal  ,Chile ,
Hacienda Los Lingues,, Rapel - Cachapoal  ,Chile ,
Intriga,,,Chile ,
Killer Bee,, Maipo  ,Chile ,
Kingston Family Vineyards,, Casablanca  ,Chile ,
La Playa Vineyards,,,Chile ,
Las Casas del Toqui / De Larose,, Rapel - Cachapoal  ,Chile ,
Las Montanas,,,Chile ,
Linderos  ,,,Chile ,
Lomas De Cauquenes,, Aconchagua  ,Chile ,
Luis Felipe Edwards,, Rapel  ,Chile ,
Matetic Vineyards,, Casablanca  ,Chile ,
Mayu Wines,,,Chile ,
Ninquen Mountain Vineyard,,,Chile ,
Odfjell Vineyards,, Maipo  ,Chile ,
OLVAR Wines,,,Chile ,
