winery,wine,area,country
A Lyttle Vineyard & Olive Grove,, Auckland - Waiheke Island  ,New Zealand 
Abel Tasman Wines,, Nelson  ,New Zealand 
Akarangi Wines,, Hawke's Bay  ,New Zealand 
Akaroa Harbour Wines,, Canterbury  ,New Zealand 
Akarua,, Nelson  ,New Zealand 
Alan McCorkindale Ltd,, Canterbury  ,New Zealand 
Alana Estate,, Wellington - Wairarapa  ,New Zealand 
Albany Lane Vineyard,, Hawke's Bay  ,New Zealand 
Alexander Vineyard,, Wellington - Martinborough  ,New Zealand 
Alexandra Wine Company,, Central Otago  ,New Zealand 
Alexia,,,New Zealand 
Allan Scott Wines and Estates,, Marlborough  ,New Zealand 
Alpha Domus,, Hawke's Bay  ,New Zealand 
Alpine Pacific Wine Company Ltd,, Canterbury  ,New Zealand 
Amisfield Wine Company,,,New Zealand 
Amor-Bendall Wines,, Gisborne  ,New Zealand 
Anthony James Wines Ltd,, Central Otago  ,New Zealand 
Antipodean Farm,,,New Zealand 
Arahura Vineyard,,,New Zealand 
Artisan New Zealand Wine,,,New Zealand 
Artisan Wines Ltd,, Auckland  ,New Zealand 
Ascension Vineyard Ltd,,,New Zealand 
Ashwell Vineyards,, Wellington - Martinborough  ,New Zealand 
Askerne Estate Winery,, Hawke's Bay  ,New Zealand 
Aspen Ridge,,,New Zealand 
Astrolabe Wines Ltd,, Marlborough - Blenheim  ,New Zealand 
Ata Rangi,, Wellington - Wairarapa  ,New Zealand 
Auntsfield Estate,,,New Zealand 
Aurum Wines,,,New Zealand 
Babich,, Auckland  ,New Zealand 
Bald Hills Vineyard,,,New Zealand 
Bannock Brae Estate Ltd,,,New Zealand 
Bannockburn Heights,, Central Otago  ,New Zealand 
Barkerole,,,New Zealand 
Beach House Wines,, Hawke's Bay  ,New Zealand 
Belfield Wines,,,New Zealand 
Bell Hill Vineyard Ltd,, Canterbury - North canterbury  ,New Zealand 
Bendemeer,,,New Zealand 
Benfield & Delamare,, Wellington - Martinborough  ,New Zealand 
Bentwood Wines,,,New Zealand 
Beros Estate,, Auckland  ,New Zealand 
Bilancia,,,New Zealand 
Black Estate Wines,,,New Zealand 
Black Ridge Vineyard,, Central Otago  ,New Zealand 
Bladen,, Marlborough  ,New Zealand 
Blake Family Vineyard Ltd,, Hawke's Bay  ,New Zealand 
Blind River Wines,,,New Zealand 
"Blitvic, Mrs M",, Northland  ,New Zealand 
Blue Sun Ltd,, Canterbury  ,New Zealand 
Bluff Hill,,,New Zealand 
Borthwick Estate,,,New Zealand 
Bouldevines Wine Limited,, Marlborough  ,New Zealand 
Bradshaw Estate Winery,, Hawke's Bay  ,New Zealand 
"Brajkovich, Ivan",, Northland  ,New Zealand 
Brancott Estate,, Marlborough  ,New Zealand 
Briar Vale Estate,, Central Otago  ,New Zealand 
Brick Bay Wines,, Auckland  ,New Zealand 
Bridge Pa Vineyard,, Hawke's Bay  ,New Zealand 
Brighams Wines Ltd,, Auckland  ,New Zealand 
Brightwater Vineyards Ltd,, Nelson  ,New Zealand 
Brookfields,, Hawke's Bay  ,New Zealand 
Buljan Wines,, Auckland  ,New Zealand 
Bulmer Harvest Ltd,, Gisborne  ,New Zealand 
