winery,web,region,country,latlong
"A. A. Ferreira, S.A.",,,Portugal ,
"A.A Calem & Filho ,S.A",,,Portugal ,
Adega Cooperativa da Covilha,,,Portugal ,
Adega Cooperativa de Alijo,,,Portugal ,
Adega Cooperativa de Borba,,,Portugal ,
Adega Cooperativa de Favaios,,,Portugal ,
Adega Cooperativa de Redondo ACR,,,Portugal ,
Adega Cooperativa de Santa Marta de Penaguiao,,,Portugal ,
"Adega Cooperativa do Fundao, C.R.L.",,,Portugal ,
Adega Cooperativa Regional de Moncao,, Monção  ,Portugal ,
"Adega Regional de Colares, CRL",,,Portugal ,
Adriano Ramos Pinto,,,Portugal ,
AFROS Wine,,,Portugal ,
"Altas Quintas Exploracao Agrícola e Vinícola, Lda",,,Portugal ,
Arlindo da Costa Pinto e Cruz,,,Portugal ,
Azamor,,,Portugal ,
Bacalhoa Vinhos de Portugal,,,Portugal ,
Blandy's,,,Portugal ,
Broadbent Selections,,,Portugal ,
C. da Silva (Vinhos) SA,,,Portugal ,
C.N. Kopke,,,Portugal ,
"CADE - Companhia Agricola de Desenvolvimento, S.A.",,,Portugal ,
Casa Cadaval,,,Portugal ,
Casa De Mouraz,,,Portugal ,
Casa de Santa Eufemia,,,Portugal ,
"Casa de Santa Vitoria - Sociedade Agro-Industrial, SA",,,Portugal ,
Casa De Santar,,,Portugal ,
Casa de Sezim,, Vinho Verde - Ave  ,Portugal ,
Casa de Vila Verde,,,Portugal ,
Casa Santos Lima,,,Portugal ,
Casal de Valle Pradinhos,,,Portugal ,
Casal Dos Jordoes,,,Portugal ,
Casca Wines,,,Portugal ,
Cave Balma Venitia,,,Portugal ,
Caves Alianca,,,Portugal ,
Caves Do Solar De São Domingos,,,Portugal ,
Caves Dom Teodosio,,,Portugal ,
Caves Primavera,,,Portugal ,
Caves Santa Marta,,,Portugal ,
Caves Sao Joao,,,Portugal ,
Cavipor,,,Portugal ,
Churchill Graham,,,Portugal ,
Cockburn's,,,Portugal ,
Cooperativa Agricola De Reguengos De Monsaraz,,,Portugal ,
Cortes de Cima,,,Portugal ,
Cossart Gordon,,,Portugal ,
Croft Port,,,Portugal ,
"D'Aguiar Companhia Agrícola, S.A.",,,Portugal ,
Dow's Port,,,Portugal ,
"ENOFORUM Alentejo Wines, Portugal",,,Portugal ,
Fonseca Guimaraens Vinhos,,,Portugal ,
Fundação Abreu Callado,,,Portugal ,
H.M. Borges,,,Portugal ,
Henrique Uva / Herdade Da Mingorra,,,Portugal ,
Henriques & Henriques,,,Portugal ,
Herdade Da Malhadinha Nova,,,Portugal ,
Herdade do Esporao,,,Portugal ,
House of Sandeman,,,Portugal ,
J H Andresen,,,Portugal ,
João Portugal Ramos Vihnos S.A.,,,Portugal ,
Jose Maria da Fonseca,,,Portugal ,
Lavradores de Feitoria,,,Portugal ,
Leacock's Madeira,,,Portugal ,
Lidador,, Oporto  ,Portugal ,
M V Borges Gonçalves Costa,,,Portugal ,
Madeira Wine Company,, Madeira  ,Portugal ,
Manoel D. Pocas Junior - Vinhos,,,Portugal ,
Maria Adelaide Melo e Trigo,,,Portugal ,
Martinez Gassiot,,,Portugal ,
"Monte Da Capela - Sociedade Agricola E Comercial, LDA",,,Portugal ,
Niepoort,,,Portugal ,
