winery,web,region,country,latlong
Cape Vineyards (Pty) Ltd,,Breede River Valley Goudini  ,South Africa,
Ambeloui Wine Cellar ,,Constantia,South Africa,"-34.033434,18.366283"
Buitenverwachting ,,Constantia,South Africa,34°2′30.4″S 18°25′1.5″E
Constantia Uitsig,,Constantia,South Africa,34°2′38″S 18°25′21″E
Eagle's Nest,,Constantia,South Africa,"-34.015101,18.414951"
Groot Constantia Estate ,,Constantia,South Africa,34°1′36.5″S 18°25′27.1″E
High Constantia ,,Constantia,South Africa,"-34.024382,18.427116"
Klein Constantia Estate,,Constantia,South Africa,34°2′19″S 18°24′46.5″E
Steenberg Vineyards,,Constantia,South Africa,"-34.071355,18.425549"
Cape Point Vineyards,,Constantia Cape Point  ,South Africa,"-34.09587,18.385383"
Douglas Green ,,Douglas  ,South Africa,
Douglas Wine Cellars,,Douglas  ,South Africa,
Altydgedacht Estate ,,Durbanville,South Africa,33°50′45.0″S 18°37′27.4″E
Bloemendal Estate,,Durbanville,South Africa,33°50′22.6″S 18°36′2.8″E
D'Aria,,Durbanville,South Africa,33°50′28.1″S 18°36′34.3″E
De Grendel,,Durbanville,South Africa,33°50′37.2″S 18°34′1.8″E
De Vallei,,Durbanville,South Africa,33°50′25″S 18°36′46″E
Diemersdal Estate ,,Durbanville,South Africa,33°48′4.5″S 18°38′25.4″E
Durbanville Hiills,,Durbanville,South Africa,33°49′29″S 18°33′59″E
Durbanville Hills,,Durbanville,South Africa,33°49′29″S 18°33′59″E
Hilcrest,,Durbanville,South Africa,33°49′36″S 18°35′29″E
Klein Roosboom,,Durbanville,South Africa,33°49′7″S 18°34′24″E
Meerendal,,Durbanville,South Africa,33°47′56″S 18°37′26″E
Nitida Cellars,,Durbanville,South Africa,33°50′4″S 18°35′37″E
Phizantekraal,,Durbanville,South Africa,33°47′45″S 18°40′10″E
Barton Vineyards,,Elgin Walker Bay,South Africa,
Beaumont Wines,,Elgin Walker Bay,South Africa,
Bouchard Finlayson,,Elgin Walker Bay,South Africa,34°22′54″S 19°14′30.9″E
Hermanuspietersfontein Wingerde (Edms.) Bpk.,,Elgin Walker Bay,South Africa,
Paul Cluver Estate Wines,,Elgin Walker Bay,South Africa,34°10′6.2″S 19°5′8.1″E
Whalehaven Wines,,Elgin Walker Bay,South Africa,
Wildekrans Wines,,Elgin Walker Bay,South Africa,
Andrew Jonker Wines ,,Klein Karoo,South Africa,
Axe Hill,,Klein Karoo,South Africa,
Barrydale Winery ,,Klein Karoo,South Africa,
Bloupunt Estate,,Klein Karoo,South Africa,
Boplaas Winery ,,Klein Karoo,South Africa,
Calitzdorp Winery ,,Klein Karoo,South Africa,
Die Krans ,,Klein Karoo,South Africa,
Die Poort Winery ,,Klein Karoo,South Africa,
Doornkraal ,,Klein Karoo,South Africa,
Grundheim Winery ,,Klein Karoo,South Africa,
Joubert Tradouw ,,Klein Karoo,South Africa,
Kango Wines,,Klein Karoo,South Africa,
Ladismith Winery ,,Klein Karoo,South Africa,
Mons Ruber Estate ,,Klein Karoo,South Africa,
Montagu Winery ,,Klein Karoo,South Africa,
Rietrivier Winery ,,Klein Karoo,South Africa,
Uitvlucht Winery ,,Klein Karoo,South Africa,
Withoek Estate ,,Klein Karoo,South Africa,
Cederberg,,Olifants River  ,South Africa,
Citrusdal Cellars ,, Olifants River  ,South Africa,
Goue Vallei Wines,, Olifants River  ,South Africa,
Klawer Wine Cellar ,, Olifants River  ,South Africa,
Spruitdrift Wine Cellar ,, Olifants River  ,South Africa,
Stoumanns Private Cellar ,, Olifants River  ,South Africa,
Travino Wines ,, Olifants River  ,South Africa,
Vredendal Winery,, Olifants River  ,South Africa,
Westcorp International ,, Olifants River  ,South Africa,
Lutzville Vineyards Ltd,,Olifants River Lutzville,South Africa,
Oranjerivier Wine Cellars,,Orange River,South Africa,
Bartho Eksteen Wines ,,Overberg,South Africa,
Cape Bay Wines ,,Overberg,South Africa,
Cape Wine Exports ,,Overberg,South Africa,
Goedvertrouw Estate ,,Overberg,South Africa,
Hamilton Russell Vineyards ,,Overberg,South Africa,34°23′23″S 19°14′30.6″E
Iona Vineyards ,,Overberg,South Africa,
Misty Mountains Estate,,Overberg,South Africa,
Newton-Johnson ,,Overberg,South Africa,
Southern Right ,,Overberg,South Africa,
Sumaridge Estate Wine,,Overberg,South Africa,
Thandi Wines ,,Overberg,South Africa,
African Terroir ,,Paarl  ,South Africa,
Anura Vineyards ,,Paarl  ,South Africa,
Ashanti ,,Paarl  ,South Africa,
Avondale Terra Est Vida,,Paarl  ,South Africa,
Avondvrede  ,,Paarl  ,South Africa,
Backsberg Estate,,Paarl  ,South Africa,
Bernheim Winery,,Paarl  ,South Africa,
Bodega Estate ,,Paarl  ,South Africa,
Boland Kelder Vineyards,,Paarl  ,South Africa,
Brenthurst Winery ,,Paarl  ,South Africa,
Cameradi Wines ,,Paarl  ,South Africa,
Cape Chamonix Wine Farm (Pty) Ltd,,Paarl  ,South Africa,
Cathedral Cellar ,,Paarl  ,South Africa,
Coastline,,Paarl  ,South Africa,
Coleraine Wines ,,Paarl  ,South Africa,
David Frost,,Paarl  ,South Africa,
De Villiers Wines ,,Paarl  ,South Africa,
De Zoete Inval Estate,,Paarl  ,South Africa,
Diamant ,,Paarl  ,South Africa,
Diemersfontein,,Paarl  ,South Africa,33°39′38″S 19°00′16″E
Domaine Brahms ,,Paarl  ,South Africa,
Drakensig Wine Cellars,,Paarl  ,South Africa,33°49′54″S 18°56′48″E
Eaglevlei Wines,,Paarl  ,South Africa,
Fair Valley ,,Paarl  ,South Africa,
Fairview / Charles Back,,Paarl  ,South Africa,33°46′14″S 18°55′41″E
Glen Carlou,,Paarl  ,South Africa,33°48′34.2″S 18°54′14″E
Hoopenburg Wines,,Paarl  ,South Africa,
Horse Mountain Wines,,Paarl  ,South Africa,
Juno Wine Company,,Paarl  ,South Africa,
Kleine Draken ,,Paarl  ,South Africa,
Kleinvallei Winery ,,Paarl  ,South Africa,
Klompzicht ,,Paarl  ,South Africa,
Koelenhof Wine Cellar ,,Paarl  ,South Africa,
KWV International,,Paarl  ,South Africa,33°38′8″S 19°27′26″E
Laborie Estate,,Paarl  ,South Africa,
Landskroon Wines,,Paarl  ,South Africa,
Leidersburg Wine Farm ,,Paarl  ,South Africa,
Mellasat Vineyard,,Paarl  ,South Africa,
Mijn-Burg Cellar ,,Paarl  ,South Africa,
Monis Wines ,,Paarl  ,South Africa,
Mont Destin,,Paarl  ,South Africa,
Nederburg Wines,,Paarl  ,South Africa,
Nelsons Creek ,,Paarl  ,South Africa,
Niel Joubert Wines ,,Paarl  ,South Africa,
Onverwacht Estate ,,Paarl  ,South Africa,
Paarl Rock Brandy Cellar ,,Paarl  ,South Africa,
Paarl Wine Company ,,Paarl  ,South Africa,
Pearly Bay,,Paarl  ,South Africa,
Perdeberg Winery,,Paarl  ,South Africa,
Perold ,,Paarl  ,South Africa,
R and De R Fredericksburg,,Paarl  ,South Africa,
Rhebokskloof Estate,,Paarl  ,South Africa,
Ridgeback Wines ,,Paarl  ,South Africa,
Robert's Rock,,Paarl  ,South Africa,
Roodeberg ,,Paarl  ,South Africa,
Ruitersvlei Wine Estate,,Paarl  ,South Africa,
Savanha ,,Paarl  ,South Africa,
Scali ,,Paarl  ,South Africa,
Seidelberg Wine Estate,,Paarl  ,South Africa,
Signal Hill ,,Paarl  ,South Africa,
Silver Lining ,,Paarl  ,South Africa,
Simonsvlei International,,Paarl  ,South Africa,
Sonop Winery,,Paarl  ,South Africa,
Veenwouden Private Cellar ,,Paarl  ,South Africa,
Vendome Wine Estate,,Paarl  ,South Africa,
Villiera Wines,,Paarl  ,South Africa,
Vineris GmbH,,Paarl  ,South Africa,
Vondeling Wines,,Paarl  ,South Africa,
Welgemeend Estate,,Paarl  ,South Africa,
West Coast Vineyards ,,Paarl  ,South Africa,
Windmeul Winery ,,Paarl  ,South Africa,
Zanddrift Vineyards ,,Paarl  ,South Africa,
Agusta Wines,,Paarl Franschhoek  ,South Africa,
Bovlei,,Paarl Wellington,South Africa,33°38′18″S 19°1′36″E
Cape Wine Cellars ,,Paarl Wellington,South Africa,33°38′2″S 18°59′37″E
Claridge Wines ,,Paarl Wellington,South Africa,
Doolhof Wine Farm ,,Paarl Wellington,South Africa,
