vintage,country,county,designation,points,price,province,title,variety,winery
1/1/1919,Spain,Cava,1919 Brut Selecció,88,13,Catalonia,L'Arboc NV 1919 Brut Selecció Sparkling (Cava),Sparkling Blend,L'Arboc
1/1/1929,Italy,Vernaccia di San Gimignano,,87,14,Tuscany,Guidi 1929 2015 Vernaccia di San Gimignano,Vernaccia,Guidi 1929
1/1/1929,Italy,Sangiovese di Romagna Superiore,Prugneto,84,15,Central Italy,Poderi dal Nespoli 1929 2011 Prugneto (Sangiovese di Romagna Superiore),Sangiovese,Poderi dal Nespoli 1929
1/1/1934,Portugal,,Reserva Velho,93,495,Colares,Adega Viuva Gomes 1934 Reserva Velho Red (Colares),Ramisco,Adega Viuva Gomes
1/1/1945,France,Rivesaltes,Legend Vintage,95,350,Languedoc-Roussillon,Gérard Bertrand 1945 Legend Vintage Red (Rivesaltes),Red Blend,Gérard Bertrand
1/1/1952,Portugal,,Colheita Tawny,96,415,Port,Burmester 1952 Colheita Tawny (Port),Port,Burmester
1/1/1963,Portugal,,Colheita Tawny,96,400,Port,Messias 1963 Colheita Tawny (Port),Port,Messias
1/1/1974,Portugal,,Colheita Tawny,93,175,Port,Barros 1974 Colheita Tawny (Port),Port,Barros
1/1/1978,Portugal,,Colheita Tawny,94,100,Port,Kopke 1978 Colheita Tawny (Port),Port,Kopke
1/1/1980,Portugal,,,93,137,Moscatel do Douro,Adega de Favaios 1980 Moscatel do Douro,Moscatel,Adega de Favaios
1/1/1984,Portugal,,Colheita,94,100,Port,Niepoort 1984 Colheita (Port),Port,Niepoort
1/1/1987,US,Sonoma Valley,Cherryblock,89,170,California,Sebastiani 1987 Cherryblock Cabernet Sauvignon (Sonoma Valley),Cabernet Sauvignon,Sebastiani
1/1/1989,France,Champagne,Diamant Bleu,91,70,Champagne,Heidsieck & Co Monopole 1989 Diamant Bleu (Champagne),Champagne Blend,Heidsieck & Co Monopole
1/1/1989,Portugal,,Colheita Tawny,93,47,Port,Burmester 1989 Colheita Tawny (Port),Port,Burmester
1/1/1990,France,Champagne,Dom Pérignon Rosé,90,290,Champagne,Moët & Chandon 1990 Dom Pérignon Rosé (Champagne),Champagne Blend,Moët & Chandon
1/1/1991,US,Sonoma County,Brut L.D.,93,60,California,Iron Horse 1991 Brut L.D. (Sonoma County),Champagne Blend,Iron Horse
1/1/1992,US,Carneros,Royal Cuvee Brut,88,22,California,Gloria Ferrer 1992 Royal Cuvee Brut (Carneros),Champagne Blend,Gloria Ferrer
1/1/1992,US,Anderson Valley,Private Reserve Brut,91,32,California,Pacific Echo 1992 Private Reserve Brut (Anderson Valley),Champagne Blend,Pacific Echo
1/1/1992,Austria,,Solist,92,75,Kamptal,Kirchmayr 1992 Solist Riesling (Kamptal),Riesling,Kirchmayr
1/1/1993,US,Oregon,,86,24,Oregon,Rex Hill 1993 Oregon,Champagne Blend,Rex Hill
1/1/1994,Germany,,Kaseler Dominikanerberg Auslese,90,26,Mosel,C. von Nell-Breuning 1994 Kaseler Dominikanerberg Auslese Riesling (Mosel),Riesling,C. von Nell-Breuning
1/1/1994,Spain,Rioja,Gran Reserva,88,25,Northern Spain,Campo Viejo 1994 Gran Reserva (Rioja),Red Blend,Campo Viejo
1/1/1994,Italy,Vin Santo del Chianti Rufina,Riserva,93,140,Tuscany,Fattoria di Grignano 1994 Riserva (Vin Santo del Chianti Rufina),White Blend,Fattoria di Grignano
1/1/1994,US,Sonoma County,,82,13,California,Gan Eden 1994 Chardonnay (Sonoma County),Chardonnay,Gan Eden
1/1/1995,France,Champagne,Premier Cru Blanc de Blancs Brut,89,48,Champagne,De Saint Gall 1995 Premier Cru Blanc de Blancs Brut (Champagne),Champagne Blend,De Saint Gall
