,winery,vintage,points,cities,MarchLowTemp,MarchHighTemp,MarchAvgTemp,MarchPrecip,MarchCloudiness,MarchHumidity,AprilLowTemp,AprilHighTemp,AprilAvgTemp,AprilPrecip,AprilCloudiness,AprilHumidity,MayLowTemp,MayHighTemp,MayAvgTemp,MayPrecip,MayCloudiness,MayHumidity,JuneLowTemp,JuneHighTemp,JuneAvgTemp,JunePrecip,JuneCloudiness,JuneHumidity,JulyLowTemp,JulyHighTemp,JulyAvgTemp,JulyPrecip,JulyCloudiness,JulyHumidity,AugLowTemp,AugHighTemp,AugAvgTemp,AugPrecip,AugCloudiness,AugHumidity
9,River Road,2011,87,Guttenberg,32.4516129,44.29032258,39.58064516,8.6,40.83870968,78.5483871,43.4,56.73333333,51.73333333,8.6,51.33333333,86.73333333,54.03225806,67.77419355,63.12903226,8.9,42.16129032,85.4516129,62.26666667,75.76666667,71.7,5.5,29.56666667,81.53333333,69.16129032,84.25806452,79.35483871,6.6,20.38709677,77.64516129,67.22580645,80.93548387,75.41935484,18.6,24.74193548,79.4516129
6,Novy,2009,87,Healdsburg,41.5483871,60.67741935,53.19354839,5.7,26.12903226,70.93548387,44.2,66.6,58.33333333,1.3,15.5,59.56666667,50.4516129,73.67741935,66.58064516,1.8,19.96774194,61.80645161,51.76666667,75.96666667,69.16666667,0.2,18.4,61.63333333,55.87096774,83.80645161,75.90322581,0,2.580645161,52.06451613,55.4516129,82.83870968,73.93548387,0.1,4.967741935,54.61290323
15,Barnett,2013,90,Saint Helena,72.93548387,75,73.80645161,0.1,64.09677419,78.22580645,72.26666667,76.03333333,73.86666667,0,52.2,74.4,70.64516129,75.12903226,72.4516129,0.4,55.48387097,74.41935484,68.43333333,73.13333333,70.43333333,0.9,49.3,72.3,66.93548387,71.4516129,68.74193548,1.4,58.25806452,73.58064516,65.4516129,70.32258065,67.41935484,0.8,81.61290323,77.87096774
17,En Garde,2014,90, Glen Ellen,24.87096774,42.61290323,35.4516129,1,45.06451613,71.22580645,40.56666667,58.66666667,51.6,5.9,43.56666667,67.2,51.61290323,71.41935484,64.12903226,2.8,36.09677419,71.38709677,60.73333333,78.7,72.86666667,10.5,31.16666667,79.7,58.48387097,79.25806452,72.48387097,1.8,22.70967742,77.12903226,61,80.12903226,73.22580645,4.2,38.83870968,83.90322581
19,MacRostie,2014,90,Healdsburg,42.32258065,64.48387097,56.32258065,6.5,38.51612903,72.77419355,43.66666667,71,61.56666667,1.9,23.7,68.43333333,46.5483871,77.90322581,68.16129032,0.1,15.03225806,57,50.33333333,83.63333333,74.53333333,0,5.033333333,55.73333333,55.09677419,85.90322581,76.70967742,0,11.64516129,60.83870968,54.4516129,83.16129032,73.22580645,0.1,8.322580645,64.41935484
20,River Road,2014,90,Guttenberg,27.90322581,41.03225806,36.4516129,6.3,45.61290323,75.93548387,41.63333333,56.5,50.96666667,6.5,32.2,75.1,52.70967742,67.16129032,62.67741935,8.9,38.64516129,79.19354839,61.5,76.76666667,72.03333333,6.1,31.96666667,80.26666667,65.87096774,80.67741935,75.74193548,9.5,26.12903226,77.96774194,64.61290323,79.41935484,74.19354839,3.7,27.06451613,74.64516129
5,Iron Horse,2009,91,Sebastopol,49.90322581,71.32258065,63.25806452,2.3,46.35483871,71.22580645,45.1,64.4,57.43333333,1.8,46.6,73.2,43.38709677,58.22580645,52.67741935,1.6,70.19354839,85.64516129,40.23333333,53.9,48.56666667,2.8,69.16666667,89.93333333,39.70967742,51.38709677,47.12903226,4.2,69.25806452,87.32258065,41.48387097,55.51612903,50.22580645,5.1,67.41935484,81.77419355
8,Iron Horse,2011,91,Sebastopol,50.80645161,68.4516129,61.67741935,2.7,56.06451613,79.48387097,46.26666667,63.7,56.6,2.1,50,80,41.09677419,54.48387097,49.19354839,1.7,78.64516129,88.67741935,40.16666667,53.16666667,47.83333333,1.7,66.5,88.16666667,38.64516129,50.96774194,46.22580645,1.5,75.25806452,90.09677419,39.77419355,56.58064516,50.25806452,4.2,65.74193548,86.25806452
13,Wait Cellars,2013,91,San Francisco,47.12903226,62.77419355,56.70967742,1.2,28.80645161,74.12903226,49.83333333,68.43333333,62.36666667,0.4,15.16666667,67.36666667,51.35483871,69.90322581,64.29032258,0.1,16.51612903,67.25806452,55.7,72.8,67.96666667,0.3,17.7,70.76666667,57.19354839,73.74193548,68.48387097,0.1,6.161290323,71.80645161,57.58064516,73.51612903,67.96774194,0.1,11.74193548,75.16129032
18,Ron Rubin,2014,91,Sebastopol,51.70967742,72.51612903,64.61290323,2.5,43.22580645,70.70967742,47.23333333,62.9,56.93333333,3.8,56.46666667,80.86666667,44,60.06451613,53.67741935,1.1,66.74193548,85.35483871,40.66666667,53,48.2,2.6,79.26666667,91.93333333,37.22580645,50.96774194,45.41935484,2.2,75.03225806,89.87096774,36.03225806,55.48387097,47.74193548,0.2,63.48387097,83.77419355
