,winery,vintage,points,cities,MarchLowTemp,MarchHighTemp,MarchAvgTemp,MarchPrecip,MarchCloudiness,MarchHumidity,AprilLowTemp,AprilHighTemp,AprilAvgTemp,AprilPrecip,AprilCloudiness,AprilHumidity,MayLowTemp,MayHighTemp,MayAvgTemp,MayPrecip,MayCloudiness,MayHumidity,JuneLowTemp,JuneHighTemp,JuneAvgTemp,JunePrecip,JuneCloudiness,JuneHumidity,JulyLowTemp,JulyHighTemp,JulyAvgTemp,JulyPrecip,JulyCloudiness,JulyHumidity,AugLowTemp,AugHighTemp,AugAvgTemp,AugPrecip,AugCloudiness,AugHumidity
5,Iron Horse,2009,91,Sebastopol,49.903225806451616,71.3225806451613,63.25806451612903,2.3000000000000003,46.354838709677416,71.2258064516129,45.1,64.4,57.43333333333333,1.8000000000000003,46.6,73.2,43.38709677419355,58.225806451612904,52.67741935483871,1.6,70.19354838709677,85.64516129032258,40.233333333333334,53.9,48.56666666666667,2.8000000000000007,69.16666666666667,89.93333333333334,39.70967741935484,51.38709677419355,47.12903225806452,4.2,69.25806451612904,87.3225806451613,41.483870967741936,55.516129032258064,50.225806451612904,5.1,67.41935483870968,81.7741935483871
6,Novy,2009,87,Healdsburg,41.54838709677419,60.67741935483871,53.193548387096776,5.7,26.129032258064516,70.93548387096774,44.2,66.6,58.333333333333336,1.2999999999999998,15.5,59.56666666666667,50.45161290322581,73.6774193548387,66.58064516129032,1.8,19.967741935483872,61.806451612903224,51.766666666666666,75.96666666666667,69.16666666666667,0.2,18.4,61.63333333333333,55.87096774193548,83.80645161290323,75.90322580645162,0.0,2.5806451612903225,52.064516129032256,55.45161290322581,82.83870967741936,73.93548387096774,0.1,4.967741935483871,54.61290322580645
7,Iron Horse,2010,92,Sebastopol,52.935483870967744,72.41935483870968,64.90322580645162,5.499999999999999,42.74193548387097,72.87096774193549,50.03333333333333,66.06666666666666,60.266666666666666,1.8000000000000005,57.5,78.5,42.483870967741936,58.70967741935484,52.67741935483871,3.0,66.12903225806451,86.03225806451613,38.13333333333333,52.3,47.13333333333333,4.8,72.4,89.9,37.354838709677416,52.32258064516129,46.67741935483871,1.9000000000000006,74.16129032258064,90.48387096774194,36.54838709677419,50.03225806451613,44.806451612903224,7.799999999999999,79.74193548387096,91.29032258064517
8,Iron Horse,2011,91,Sebastopol,50.806451612903224,68.45161290322581,61.67741935483871,2.7,56.064516129032256,79.48387096774194,46.266666666666666,63.7,56.6,2.1,50.0,80.0,41.096774193548384,54.483870967741936,49.193548387096776,1.7000000000000002,78.64516129032258,88.6774193548387,40.166666666666664,53.166666666666664,47.833333333333336,1.7000000000000002,66.5,88.16666666666667,38.645161290322584,50.96774193548387,46.225806451612904,1.5000000000000002,75.25806451612904,90.09677419354838,39.774193548387096,56.58064516129032,50.25806451612903,4.199999999999999,65.74193548387096,86.25806451612904
9,River Road,2011,84,Guttenberg,32.45161290322581,44.29032258064516,39.58064516129032,8.600000000000001,40.83870967741935,78.54838709677419,43.4,56.733333333333334,51.733333333333334,8.6,51.333333333333336,86.73333333333333,54.03225806451613,67.7741935483871,63.12903225806452,8.9,42.16129032258065,85.45161290322581,62.266666666666666,75.76666666666667,71.7,5.500000000000001,29.566666666666666,81.53333333333333,69.16129032258064,84.25806451612904,79.35483870967742,6.6,20.387096774193548,77.64516129032258,67.2258064516129,80.93548387096774,75.41935483870968,18.6,24.741935483870968,79.45161290322581
10,Iron Horse,2012,95,Sebastopol,50.32258064516129,68.3225806451613,61.645161290322584,1.7000000000000002,48.54838709677419,75.80645161290323,45.56666666666667,66.56666666666666,58.2,1.4000000000000001,45.4,75.43333333333334,41.67741935483871,56.225806451612904,50.41935483870968,3.3,67.19354838709677,84.96774193548387,38.53333333333333,50.766666666666666,46.1,3.8000000000000007,78.9,91.1,38.16129032258065,50.806451612903224,45.903225806451616,2.4000000000000004,80.61290322580645,91.19354838709677,37.83870967741935,52.225806451612904,46.483870967741936,2.4,79.41935483870968,87.51612903225806
11,Loring Wine Company,2012,92,Lompoc,47.87096774193548,59.67741935483871,55.193548387096776,1.9,19.70967741935484,71.29032258064517,51.0,63.233333333333334,59.06666666666667,1.5,13.366666666666667,69.8,53.74193548387097,66.2258064516129,62.483870967741936,0.0,4.580645161290323,67.54838709677419,55.3,66.63333333333334,63.4,0.0,2.1,71.73333333333333,58.03225806451613,67.54838709677419,64.41935483870968,0.30000000000000004,7.451612903225806,77.58064516129032,61.54838709677419,72.09677419354838,68.3225806451613,0.2,3.2903225806451615,68.70967741935483
12,Dutton-Goldfield,2013,93,Sebastopol,53.806451612903224,75.51612903225806,67.48387096774194,1.1,36.064516129032256,63.354838709677416,46.233333333333334,65.23333333333333,57.93333333333333,1.6000000000000005,56.46666666666667,77.7,42.67741935483871,58.25806451612903,51.806451612903224,2.0999999999999996,61.645161290322584,82.74193548387096,38.833333333333336,53.03333333333333,47.233333333333334,2.8000000000000003,71.6,89.76666666666667,39.29032258064516,52.67741935483871,46.903225806451616,2.8000000000000003,72.3225806451613,89.96774193548387,39.58064516129032,52.83870967741935,47.774193548387096,3.100000000000001,76.80645161290323,89.45161290322581
13,Wait Cellars,2013,91,San Francisco,47.12903225806452,62.774193548387096,56.70967741935484,1.2,28.806451612903224,74.12903225806451,49.833333333333336,68.43333333333334,62.36666666666667,0.4,15.166666666666666,67.36666666666666,51.354838709677416,69.90322580645162,64.29032258064517,0.1,16.516129032258064,67.25806451612904,55.7,72.8,67.96666666666667,0.30000000000000004,17.7,70.76666666666667,57.193548387096776,73.74193548387096,68.48387096774194,0.1,6.161290322580645,71.80645161290323,57.58064516129032,73.51612903225806,67.96774193548387,0.1,11.741935483870968,75.16129032258064
14,Krutz,2013,92,Santa Rosa,75.93548387096774,90.06451612903226,84.83870967741936,1.2999999999999998,27.516129032258064,75.96774193548387,78.86666666666666,95.73333333333333,90.36666666666666,1.3000000000000003,18.566666666666666,70.56666666666666,80.3225806451613,93.54838709677419,89.0,3.8000000000000007,25.870967741935484,75.45161290322581,79.16666666666667,91.56666666666666,87.03333333333333,8.7,35.233333333333334,79.76666666666667,77.70967741935483,89.25806451612904,84.96774193548387,9.200000000000001,39.38709677419355,82.12903225806451,77.61290322580645,87.25806451612904,83.64516129032258,10.4,44.25806451612903,83.61290322580645
